Replicate,Plate,Well,Entity Identifier,Entity Identifier Source Database,Entity Identifier Link Stem,Strain Name,Gene Symbol,Control Type,Control Comments
1,X_110213_S2_Blue1000,A1,SPAC589.11,Pombase,http://www.pombase.org/spombe/result/,mug82,mug82,,
1,X_110213_S2_Blue1000,A10,SPBC2G2.05,Pombase,http://www.pombase.org/spombe/result/,rpl1603,rpl1603,,
1,X_110213_S2_Blue1000,A11,SPBC3D6.09,Pombase,http://www.pombase.org/spombe/result/,dpb4,dpb4,,
1,X_110213_S2_Blue1000,A12,SPBCPT2R1.02,Pombase,http://www.pombase.org/spombe/result/,SPBCPT2R1.02,,,
1,X_110213_S2_Blue1000,A2,,,,Empty,,empty,
1,X_110213_S2_Blue1000,A3,SPAC8C9.19,Pombase,http://www.pombase.org/spombe/result/,SPAC8C9.19,,,
1,X_110213_S2_Blue1000,A4,SPAPB17E12.03,Pombase,http://www.pombase.org/spombe/result/,SPAPB17E12.03,,,
1,X_110213_S2_Blue1000,A5,SPAPB21F2.03,Pombase,http://www.pombase.org/spombe/result/,slx9,slx9,,
1,X_110213_S2_Blue1000,A6,SPBC146.10,Pombase,http://www.pombase.org/spombe/result/,mug57,mug57,,
1,X_110213_S2_Blue1000,A7,SPBC1685.10,Pombase,http://www.pombase.org/spombe/result/,rps27,rps27,,
1,X_110213_S2_Blue1000,A8,SPBC1711.15c,Pombase,http://www.pombase.org/spombe/result/,SPBC1711.15c,,,
1,X_110213_S2_Blue1000,A9,SPBC23G7.15c,Pombase,http://www.pombase.org/spombe/result/,rpp202,rpp202,,
1,X_110213_S2_Blue1000,B1,SPAC5D6.01,Pombase,http://www.pombase.org/spombe/result/,rps2202,rps2202,,
1,X_110213_S2_Blue1000,B10,SPBC30D10.09c,Pombase,http://www.pombase.org/spombe/result/,SPBC30D10.09c,,,
1,X_110213_S2_Blue1000,B11,SPBC4B4.06,Pombase,http://www.pombase.org/spombe/result/,vps25,vps25,,
1,X_110213_S2_Blue1000,B12,SPBCPT2R1.03,Pombase,http://www.pombase.org/spombe/result/,SPBCPT2R1.03,,,
1,X_110213_S2_Blue1000,B2,SPAC6B12.06c,Pombase,http://www.pombase.org/spombe/result/,rrg9,rrg9,,
1,X_110213_S2_Blue1000,B3,SPAC8E11.04c,Pombase,http://www.pombase.org/spombe/result/,SPAC8E11.04c,,,
1,X_110213_S2_Blue1000,B4,SPAPB17E12.04c,Pombase,http://www.pombase.org/spombe/result/,csn2,csn2,,
1,X_110213_S2_Blue1000,B5,SPAPB2B4.06,Pombase,http://www.pombase.org/spombe/result/,SPAPB2B4.06,,,
1,X_110213_S2_Blue1000,B6,SPBC14C8.04,Pombase,http://www.pombase.org/spombe/result/,SPBC14C8.04,,,
1,X_110213_S2_Blue1000,B7,SPBC16A3.07c,Pombase,http://www.pombase.org/spombe/result/,nrm1,nrm1,,
1,X_110213_S2_Blue1000,B8,SPBC18E5.14c,Pombase,http://www.pombase.org/spombe/result/,SPBC18E5.14c,,,
1,X_110213_S2_Blue1000,B9,SPBC23G7.16,Pombase,http://www.pombase.org/spombe/result/,ctr6,ctr6,,
1,X_110213_S2_Blue1000,C1,SPAC5D6.08c,Pombase,http://www.pombase.org/spombe/result/,mes1,mes1,,
1,X_110213_S2_Blue1000,C10,SPBC31F10.05,Pombase,http://www.pombase.org/spombe/result/,mug37,mug37,,
1,X_110213_S2_Blue1000,C11,SPBC4C3.12,Pombase,http://www.pombase.org/spombe/result/,sep1,sep1,,
1,X_110213_S2_Blue1000,C12,SPBCPT2R1.08c,Pombase,http://www.pombase.org/spombe/result/,tlh2,tlh2,,
1,X_110213_S2_Blue1000,C2,SPAC6B12.15,Pombase,http://www.pombase.org/spombe/result/,cpc2,cpc2,,
1,X_110213_S2_Blue1000,C3,SPACUNK4.19,Pombase,http://www.pombase.org/spombe/result/,mug153,mug153,,
1,X_110213_S2_Blue1000,C4,SPAPB17E12.05,Pombase,http://www.pombase.org/spombe/result/,rpl3703,rpl3703,,
1,X_110213_S2_Blue1000,C5,SPAPB8E5.02c,Pombase,http://www.pombase.org/spombe/result/,rpn502,rpn502,,
1,X_110213_S2_Blue1000,C6,SPBC1539.06,Pombase,http://www.pombase.org/spombe/result/,SPBC1539.06,,,
1,X_110213_S2_Blue1000,C7,SPBC16C6.05,Pombase,http://www.pombase.org/spombe/result/,SPBC16C6.05,,,
1,X_110213_S2_Blue1000,C8,SPBC18H10.07,Pombase,http://www.pombase.org/spombe/result/,SPBC18H10.07,,,
1,X_110213_S2_Blue1000,C9,SPBC24C6.05,Pombase,http://www.pombase.org/spombe/result/,sec28,sec28,,
1,X_110213_S2_Blue1000,D1,SPAC630.11,Pombase,http://www.pombase.org/spombe/result/,vps55,vps55,,
1,X_110213_S2_Blue1000,D10,SPBC32F12.08c,Pombase,http://www.pombase.org/spombe/result/,duo1,duo1,,
1,X_110213_S2_Blue1000,D11,SPBC83.04,Pombase,http://www.pombase.org/spombe/result/,apc15,apc15,,
1,X_110213_S2_Blue1000,D12,SPBP22H7.08,Pombase,http://www.pombase.org/spombe/result/,rps1002,rps1002,,
1,X_110213_S2_Blue1000,D2,SPAC6F6.09,Pombase,http://www.pombase.org/spombe/result/,eaf6,eaf6,,
1,X_110213_S2_Blue1000,D3,SPAP11E10.01,Pombase,http://www.pombase.org/spombe/result/,SPAP11E10.01,,,
1,X_110213_S2_Blue1000,D4,SPAPB17E12.08,Pombase,http://www.pombase.org/spombe/result/,SPAPB17E12.08,,,
1,X_110213_S2_Blue1000,D5,SPAPJ691.03,Pombase,http://www.pombase.org/spombe/result/,SPAPJ691.03,,,
1,X_110213_S2_Blue1000,D6,SPBC1539.08,Pombase,http://www.pombase.org/spombe/result/,arf6,arf6,,
1,X_110213_S2_Blue1000,D7,SPBC16E9.15,Pombase,http://www.pombase.org/spombe/result/,SPBC16E9.15,,,
1,X_110213_S2_Blue1000,D8,SPBC19F8.01c,Pombase,http://www.pombase.org/spombe/result/,spn7,spn7,,
1,X_110213_S2_Blue1000,D9,SPBC29A10.12,Pombase,http://www.pombase.org/spombe/result/,SPBC29A10.12,,,
1,X_110213_S2_Blue1000,E1,SPAC630.15,Pombase,http://www.pombase.org/spombe/result/,mug177,mug177,,
1,X_110213_S2_Blue1000,E10,SPBC32H8.05,Pombase,http://www.pombase.org/spombe/result/,SPBC32H8.05,,,
1,X_110213_S2_Blue1000,E11,SPBC83.19c,Pombase,http://www.pombase.org/spombe/result/,SPBC83.19c,,,
1,X_110213_S2_Blue1000,E12,SPBP4H10.08,Pombase,http://www.pombase.org/spombe/result/,qcr10,qcr10,,
1,X_110213_S2_Blue1000,E2,SPAC6G9.09c,Pombase,http://www.pombase.org/spombe/result/,rpl2401,rpl2401,,
1,X_110213_S2_Blue1000,E3,SPAP27G11.15,Pombase,http://www.pombase.org/spombe/result/,slx1,slx1,,
1,X_110213_S2_Blue1000,E4,SPAPB17E12.12c,Pombase,http://www.pombase.org/spombe/result/,SPAPB17E12.12c,,,
1,X_110213_S2_Blue1000,E5,SPBC1105.09,Pombase,http://www.pombase.org/spombe/result/,ubc15,ubc15,,
1,X_110213_S2_Blue1000,E6,SPBC1539.10,Pombase,http://www.pombase.org/spombe/result/,nop16,nop16,,
1,X_110213_S2_Blue1000,E7,SPBC1703.08c,Pombase,http://www.pombase.org/spombe/result/,SPBC1703.08c,,,
1,X_110213_S2_Blue1000,E8,SPBC21B10.08c,Pombase,http://www.pombase.org/spombe/result/,SPBC21B10.08c,,,
1,X_110213_S2_Blue1000,E9,SPBC29A3.21,Pombase,http://www.pombase.org/spombe/result/,SPBC29A3.21,,,
1,X_110213_S2_Blue1000,F1,SPAC664.10,Pombase,http://www.pombase.org/spombe/result/,klp2,klp2,,
1,X_110213_S2_Blue1000,F10,SPBC337.09,Pombase,http://www.pombase.org/spombe/result/,erg28,erg28,,
1,X_110213_S2_Blue1000,F11,SPBC839.14c,Pombase,http://www.pombase.org/spombe/result/,see1,see1,,
1,X_110213_S2_Blue1000,F12,SPBP4H10.12,Pombase,http://www.pombase.org/spombe/result/,SPBP4H10.12,,,
1,X_110213_S2_Blue1000,F2,SPAC750.08c,Pombase,http://www.pombase.org/spombe/result/,SPAC750.08c,,,
1,X_110213_S2_Blue1000,F3,SPAP27G11.16,Pombase,http://www.pombase.org/spombe/result/,SPAP27G11.16,,,
1,X_110213_S2_Blue1000,F4,SPAPB17E12.14c,Pombase,http://www.pombase.org/spombe/result/,SPAPB17E12.14c,,,
1,X_110213_S2_Blue1000,F5,SPBC11C11.07,Pombase,http://www.pombase.org/spombe/result/,rpl1801,rpl1801,,
1,X_110213_S2_Blue1000,F6,SPBC15D4.02,Pombase,http://www.pombase.org/spombe/result/,gsf1,gsf1,,
1,X_110213_S2_Blue1000,F7,SPBC1703.11,Pombase,http://www.pombase.org/spombe/result/,SPBC1703.11,,,
1,X_110213_S2_Blue1000,F8,SPBC21C3.11,Pombase,http://www.pombase.org/spombe/result/,ubx4,ubx4,,
1,X_110213_S2_Blue1000,F9,SPBC29B5.03c,Pombase,http://www.pombase.org/spombe/result/,rpl26,rpl26,,
1,X_110213_S2_Blue1000,G1,SPAC683.03,Pombase,http://www.pombase.org/spombe/result/,SPAC683.03,,,
1,X_110213_S2_Blue1000,G10,SPBC337.16,Pombase,http://www.pombase.org/spombe/result/,cho1,cho1,,
1,X_110213_S2_Blue1000,G11,SPBC887.08,Pombase,http://www.pombase.org/spombe/result/,SPBC887.08,,,
1,X_110213_S2_Blue1000,G12,SPBP8B7.22,Pombase,http://www.pombase.org/spombe/result/,erd2,erd2,,
1,X_110213_S2_Blue1000,G2,SPAC823.02,Pombase,http://www.pombase.org/spombe/result/,SPAC823.02,,,
1,X_110213_S2_Blue1000,G3,SPAPB17E12.02,Pombase,http://www.pombase.org/spombe/result/,yip12,yip12,,
1,X_110213_S2_Blue1000,G4,SPAPB18E9.04c,Pombase,http://www.pombase.org/spombe/result/,SPAPB18E9.04c,,,
1,X_110213_S2_Blue1000,G5,SPBC1348.01,Pombase,http://www.pombase.org/spombe/result/,SPBC1348.01,,,
1,X_110213_S2_Blue1000,G6,SPBC15D4.06,Pombase,http://www.pombase.org/spombe/result/,naa30,naa30,,
1,X_110213_S2_Blue1000,G7,SPBC1709.18,Pombase,http://www.pombase.org/spombe/result/,tif452,tif452,,
1,X_110213_S2_Blue1000,G8,SPBC21D10.08c,Pombase,http://www.pombase.org/spombe/result/,SPBC21D10.08c,,,
1,X_110213_S2_Blue1000,G9,SPBC2D10.16,Pombase,http://www.pombase.org/spombe/result/,mhf1,mhf1,,
1,X_110213_S2_Blue1000,H1,SPAC694.03,Pombase,http://www.pombase.org/spombe/result/,SPAC694.03,,,
1,X_110213_S2_Blue1000,H10,SPBC3B9.05,Pombase,http://www.pombase.org/spombe/result/,SPBC3B9.05,,,
1,X_110213_S2_Blue1000,H11,SPBC8D2.02c,Pombase,http://www.pombase.org/spombe/result/,vps68,vps68,,
1,X_110213_S2_Blue1000,H12,,,,Empty,,empty,
1,X_110213_S2_Blue1000,H2,,,,Empty,,empty,
1,X_110213_S2_Blue1000,H3,,,,Empty,,empty,
1,X_110213_S2_Blue1000,H4,SPAPB1E7.07,Pombase,http://www.pombase.org/spombe/result/,glt1,glt1,,
1,X_110213_S2_Blue1000,H5,SPBC1348.14c,Pombase,http://www.pombase.org/spombe/result/,ght7,ght7,,
1,X_110213_S2_Blue1000,H6,SPBC1604.18c,Pombase,http://www.pombase.org/spombe/result/,SPBC1604.18c,,,
1,X_110213_S2_Blue1000,H7,SPBC1711.14,Pombase,http://www.pombase.org/spombe/result/,rec15,rec15,,
1,X_110213_S2_Blue1000,H8,SPBC23E6.05,Pombase,http://www.pombase.org/spombe/result/,arx1,arx1,,
1,X_110213_S2_Blue1000,H9,SPBC2D10.20,Pombase,http://www.pombase.org/spombe/result/,ubc1,ubc1,,
1,X_110213_S2_Blue1300,A1,SPAC589.11,Pombase,http://www.pombase.org/spombe/result/,mug82,mug82,,
1,X_110213_S2_Blue1300,A10,SPBC2G2.05,Pombase,http://www.pombase.org/spombe/result/,rpl1603,rpl1603,,
1,X_110213_S2_Blue1300,A11,SPBC3D6.09,Pombase,http://www.pombase.org/spombe/result/,dpb4,dpb4,,
1,X_110213_S2_Blue1300,A12,SPBCPT2R1.02,Pombase,http://www.pombase.org/spombe/result/,SPBCPT2R1.02,,,
1,X_110213_S2_Blue1300,A2,,,,Empty,,empty,
1,X_110213_S2_Blue1300,A3,SPAC8C9.19,Pombase,http://www.pombase.org/spombe/result/,SPAC8C9.19,,,
1,X_110213_S2_Blue1300,A4,SPAPB17E12.03,Pombase,http://www.pombase.org/spombe/result/,SPAPB17E12.03,,,
1,X_110213_S2_Blue1300,A5,SPAPB21F2.03,Pombase,http://www.pombase.org/spombe/result/,slx9,slx9,,
1,X_110213_S2_Blue1300,A6,SPBC146.10,Pombase,http://www.pombase.org/spombe/result/,mug57,mug57,,
1,X_110213_S2_Blue1300,A7,SPBC1685.10,Pombase,http://www.pombase.org/spombe/result/,rps27,rps27,,
1,X_110213_S2_Blue1300,A8,SPBC1711.15c,Pombase,http://www.pombase.org/spombe/result/,SPBC1711.15c,,,
1,X_110213_S2_Blue1300,A9,SPBC23G7.15c,Pombase,http://www.pombase.org/spombe/result/,rpp202,rpp202,,
1,X_110213_S2_Blue1300,B1,SPAC5D6.01,Pombase,http://www.pombase.org/spombe/result/,rps2202,rps2202,,
1,X_110213_S2_Blue1300,B10,SPBC30D10.09c,Pombase,http://www.pombase.org/spombe/result/,SPBC30D10.09c,,,
1,X_110213_S2_Blue1300,B11,SPBC4B4.06,Pombase,http://www.pombase.org/spombe/result/,vps25,vps25,,
1,X_110213_S2_Blue1300,B12,SPBCPT2R1.03,Pombase,http://www.pombase.org/spombe/result/,SPBCPT2R1.03,,,
1,X_110213_S2_Blue1300,B2,SPAC6B12.06c,Pombase,http://www.pombase.org/spombe/result/,rrg9,rrg9,,
1,X_110213_S2_Blue1300,B3,SPAC8E11.04c,Pombase,http://www.pombase.org/spombe/result/,SPAC8E11.04c,,,
1,X_110213_S2_Blue1300,B4,SPAPB17E12.04c,Pombase,http://www.pombase.org/spombe/result/,csn2,csn2,,
1,X_110213_S2_Blue1300,B5,SPAPB2B4.06,Pombase,http://www.pombase.org/spombe/result/,SPAPB2B4.06,,,
1,X_110213_S2_Blue1300,B6,SPBC14C8.04,Pombase,http://www.pombase.org/spombe/result/,SPBC14C8.04,,,
1,X_110213_S2_Blue1300,B7,SPBC16A3.07c,Pombase,http://www.pombase.org/spombe/result/,nrm1,nrm1,,
1,X_110213_S2_Blue1300,B8,SPBC18E5.14c,Pombase,http://www.pombase.org/spombe/result/,SPBC18E5.14c,,,
1,X_110213_S2_Blue1300,B9,SPBC23G7.16,Pombase,http://www.pombase.org/spombe/result/,ctr6,ctr6,,
1,X_110213_S2_Blue1300,C1,SPAC5D6.08c,Pombase,http://www.pombase.org/spombe/result/,mes1,mes1,,
1,X_110213_S2_Blue1300,C10,SPBC31F10.05,Pombase,http://www.pombase.org/spombe/result/,mug37,mug37,,
1,X_110213_S2_Blue1300,C11,SPBC4C3.12,Pombase,http://www.pombase.org/spombe/result/,Sep-01,Sep-01,,
1,X_110213_S2_Blue1300,C12,SPBCPT2R1.08c,Pombase,http://www.pombase.org/spombe/result/,tlh2,tlh2,,
1,X_110213_S2_Blue1300,C2,SPAC6B12.15,Pombase,http://www.pombase.org/spombe/result/,cpc2,cpc2,,
1,X_110213_S2_Blue1300,C3,SPACUNK4.19,Pombase,http://www.pombase.org/spombe/result/,mug153,mug153,,
1,X_110213_S2_Blue1300,C4,SPAPB17E12.05,Pombase,http://www.pombase.org/spombe/result/,rpl3703,rpl3703,,
1,X_110213_S2_Blue1300,C5,SPAPB8E5.02c,Pombase,http://www.pombase.org/spombe/result/,rpn502,rpn502,,
1,X_110213_S2_Blue1300,C6,SPBC1539.06,Pombase,http://www.pombase.org/spombe/result/,SPBC1539.06,,,
1,X_110213_S2_Blue1300,C7,SPBC16C6.05,Pombase,http://www.pombase.org/spombe/result/,SPBC16C6.05,,,
1,X_110213_S2_Blue1300,C8,SPBC18H10.07,Pombase,http://www.pombase.org/spombe/result/,SPBC18H10.07,,,
1,X_110213_S2_Blue1300,C9,SPBC24C6.05,Pombase,http://www.pombase.org/spombe/result/,sec28,sec28,,
1,X_110213_S2_Blue1300,D1,SPAC630.11,Pombase,http://www.pombase.org/spombe/result/,vps55,vps55,,
1,X_110213_S2_Blue1300,D10,SPBC32F12.08c,Pombase,http://www.pombase.org/spombe/result/,duo1,duo1,,
1,X_110213_S2_Blue1300,D11,SPBC83.04,Pombase,http://www.pombase.org/spombe/result/,apc15,apc15,,
1,X_110213_S2_Blue1300,D12,SPBP22H7.08,Pombase,http://www.pombase.org/spombe/result/,rps1002,rps1002,,
1,X_110213_S2_Blue1300,D2,SPAC6F6.09,Pombase,http://www.pombase.org/spombe/result/,eaf6,eaf6,,
1,X_110213_S2_Blue1300,D3,SPAP11E10.01,Pombase,http://www.pombase.org/spombe/result/,SPAP11E10.01,,,
