Gene Identifier	Gene Symbol	Reproducibility of Shape Hits	Reproducibility of microtubule hits	Reproducibility of cell cycle progression hits	Visual Shape Hit	Visual Microtubule Hit	Conservation in S. cerevisiae	Conservation in Vertebrates	Conservation in H. sapiens	Phenotype 1	Ontology Term Name 1a	Term Source Accession 1a	Ontology Term Name 1b	Term Source Accession 1b	Phenotype 2	Ontology Term Name 2a	Term Source Accession 2a	Ontology Term Name 2b	Term Source Accession 2b	Phenotype 3	Ontology Term Name 3a	Term Source Accession 3a	Ontology Term Name 3b	Term Source Accession 3b	Phenotype 4	Ontology Term Name 4a	Term Source Accession 4a	Ontology Term Name 4b	Term Source Accession 4b	Phenotype 5	Ontology Term Name 5a	Term Source Accession 5a	Ontology Term Name 5b	Term Source Accession 5b	Phenotype 6	Ontology Term Name 6a	Term Source Accession 6a	Ontology Term Name 6b	Term Source Accession 6b	Phenotype 7	Ontology Term Name 7a	Term Source Accession 7a	Ontology Term Name 7b	Term Source Accession 7b
SPCP1E11.06	apl4	6/6	6/6	2/4			yes	yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369
SPBC36.04	cys11	3/6	3/6	2/5			yes	yes	yes	viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			viable pear-shaped vegetative cell	pear-shaped cell	CMPO_0000366			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet							
SPAC227.01c	erd1	12/12	11/11		yes		yes	yes		long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369										
SPBC2G2.03c	sbh1	8/9	6/8					yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369										
SPAC17G8.05	med20	9/9	6/6		yes		yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369										
SPAC17H9.19c	cdt2	5/5	4/4		yes	yes	yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369										
SPBC428.06c	rxt2	3/5	3/4				yes			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369										
SPCC1840.03	sal3	5/5	4/4				yes	yes		viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369										
SPBC21B10.05c	pop3	7/8	7/7	3/7				yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet												
SPAC8C9.19		8/9	4/8	3/6		yes	yes	yes		viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet												
SPCC1322.03	trp1322	3/8	4/5	2/4			yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			short cytoplasmic microtubules	shortened cytoplasmic microtubules	CMPO_0000371			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	PAA reduced	not available yet	not available yet												
SPBC29A10.01	ccr1	4/8	6/6	4/6	yes		yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			IP increased	more cells with interphase microtubule arrays	CMPO_0000383			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369	IP2 increased	not available yet	not available yet			PAA reduced	not available yet	not available yet												
SPAC2F7.07c	cph2	5/5	4/4				yes	yes		long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369					
SPAC5D6.05	sep11'	5/5	4/4			yes	yes	yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369					
SPAC824.05	vps16	9/10	5/6							long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369					
SPBC17A3.05c		6/6	4/4				yes	yes		long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369					
SPCC1450.03		7/7	5/5				yes	yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369					
SPCC790.02	pep3	9/9	6/6			yes			yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369					
SPAC23H3.05c	swd1	6/8	4/5				yes			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPAC3G9.08	png1	7/7	2/4				yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPAC4F10.04	ypa1	5/5	4/4				yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			microtubule bundles present in greater numbers	increased number of microtubule bundles	CMPO_0000372			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPBC21C3.02c	dep1	7/9	8/8		yes		yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPCC553.08c		7/8	8/8				yes	yes	yes	viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			S-shaped cell	S-shaped cell	CMPO_0000364			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPBC1604.20c	tea2	4/7	6/6				yes	yes		viable curved vegetative cell	curved cell	CMPO_0000365			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			short cytoplasmic microtubules	shortened cytoplasmic microtubules	CMPO_0000371			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPBC336.03	efc25	6/6	2/5				yes	yes	yes	viable stubby vegetative cell	stubby cell	CMPO_0000367			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			viable pear-shaped vegetative cell	pear-shaped cell	CMPO_0000366			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPBP22H7.08	rps1002	4/10	5/9				yes	yes	yes	long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable curved vegetative cell	curved cell	CMPO_0000365			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
SPAC30.02c		7/9	4/7				yes	yes		long cytoplasmic microtubules	elongated cytoplasmic microtubules	CMPO_0000370			viable elongated vegetative cell	elongated cell	CMPO_0000077			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369															
