Replicate,Plate,Well,Gene Identifier %% url=http://www.pombase.org/spombe/result/%s,Strain Name,Gene Symbol,Control Type,Control Comments,Reproducibility of Shape Hits,Reproducibility of microtubule hits,Reproducibility of cell cycle progression hits,Visual Shape Hit,Visual Microtubule Hit,Conservation in S. cerevisiae,Conservation in Vertebrates,Conservation in H. sapiens,Mineotaur Hit Type,Phenotype 1,Ontology Term Name 1a,Term Source Accession 1a,Ontology Term Name 1b,Term Source Accession 1b,Phenotype 2,Ontology Term Name 2a,Term Source Accession 2a,Ontology Term Name 2b,Term Source Accession 2b,Phenotype 3,Ontology Term Name 3a,Term Source Accession 3a,Ontology Term Name 3b,Term Source Accession 3b,Phenotype 4,Ontology Term Name 4a,Term Source Accession 4a,Ontology Term Name 4b,Term Source Accession 4b,Phenotype 5,Ontology Term Name 5a,Term Source Accession 5a,Ontology Term Name 5b,Term Source Accession 5b,Phenotype 6,Ontology Term Name 6a,Term Source Accession 6a,Ontology Term Name 6b,Term Source Accession 6b,Phenotype 7,Ontology Term Name 7a,Term Source Accession 7a,Ontology Term Name 7b,Term Source Accession 7b
1,X_110213_S2_Blue1000,A2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1000,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,A2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110213_S2_Blue1300,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,A1,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110222_S1,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110227_S3,A3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110227_S3,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110227_S3,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110227_S3,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110227_S4,A4,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110227_S4,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110227_S4,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110227_S4,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110314_S7,A7,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110314_S7,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110314_S7,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110314_S7,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110331_S13,B1,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110331_S13,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110331_S13,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110331_S13,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110331_S14,B2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110331_S14,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110331_S14,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110331_S14,H3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,B3,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H12,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X_110401_S15,H2,,empty,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
