Replicate,Plate,Well,Well Number,siRNA Identifier,Gene Identifier %% url=http://www.ensembl.org/id/%s,Gene Symbol,Control Type,Control Comments,Quality Control,Median Deviation Fraction - Shorter Prophase,Median Deviation Fraction - Longer Prophase,Phenotype Reproducibility - Shorter Prophase,Phenotype Reproducibility - Longer Prophase,Phenotype 1,Ontology Term Name 1,Term Source Accession 1,Phenotype 2,Ontology Term Name 2,Term Source Accession 2
1,plate1_1_013,A1,1,s2748,ENSG00000117399,CDC20,positive control,early mitotic phenotype,fail,,,,,,,,,,
1,plate1_1_013,A10,10,s21758,ENSG00000112941,PAPD7,,,pass,-0.07,0.03,1/3,1/3,,,,,,
1,plate1_1_013,A11,11,s9131,ENSG00000136997,MYC,,,pass,-0.05,0.06,0,1/3,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
1,plate1_1_013,A12,12,s31393,ENSG00000072609,CHFR,,,pass,0.33,-0.07,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
1,plate1_1_013,A2,2,s20068,ENSG00000105127,AKAP8,,,pass,0.25,-0.07,2/3,0,shorter prophase,decreased duration of mitotic prophase,CMPO_0000329,,,
1,plate1_1_013,A3,3,s5681,ENSG00000164404,GDF9,,,pass,,,,,,,,,,
1,plate1_1_013,A4,4,s15534,ENSG00000083168,MYST3,,,pass,-0.09,0.02,1/3,0,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
1,plate1_1_013,A5,5,s10143,ENSG00000131165,CHMP1A,,,pass,,,,,,,,,,
1,plate1_1_013,A6,6,s465,ENSG00000170312,CDK1,,,pass,-0.25,0.2,0,2/3,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
1,plate1_1_013,A7,7,s15532,ENSG00000083168,MYST3,,,pass,0.02,0.1,1/3,2/3,longer prophase,increased duration of mitotic prophase,CMPO_0000328,,,
1,plate1_1_013,A8,8,s34513,ENSG00000109805,NCAPG,,,pass,0,0.07,0,0,,,,,,
1,plate1_1_013,A9,9,s19235,ENSG00000010292,NCAPD2,,,pass,0.16,-0.08,0,0,,,,,,
