siRNA identifier	Gene Identifier	Gene Symbol	Median Deviation Fraction - Shorter Prophase	Median Deviation Fraction - Longer Prophase	Phenotype Reproducibility - Shorter Prophase	Phenotype Reproducibility - Longer Prophase	Phenotype 1	Ontology Term Name 1	Ontology Term Accession 1	Phenotype 2	Ontology Term Name 2	Ontology Term Accession 2
s15755	ENSG00000102030	ARD1A(NAA10)	0.28	-0.07	2/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329	longer prophase	increased duration of mitotic prophase	CMPO_0000328
s15754	ENSG00000102030	ARD1A(NAA10)	-0.06	0.11	0	2/4	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329	longer prophase	increased duration of mitotic prophase	CMPO_0000328
s25212	ENSG00000164880	INTS1	-0.05	0.08	0	2/4	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329	longer prophase	increased duration of mitotic prophase	CMPO_0000328
s25213	ENSG00000164880	INTS1	0.21	0.01	2/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329	longer prophase	increased duration of mitotic prophase	CMPO_0000328
s465	ENSG00000170312	CDC2 (CDK1)	-0.25	0.2	0	2/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s464	ENSG00000170312	CDC2 (CDK1)	-0.42	0.21	0	2/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s15534	ENSG00000083168	MYST3(KATE6A)	-0.09	0.02	1/3	0	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s15532	ENSG00000083168	MYST3(KATE6A)	0.02	0.1	1/3	2/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s14307	ENSG00000131747	TOP2A (Q71UN1_HUMAN)	-0.07	0.02	1/4	0	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s14308	ENSG00000131747	TOP2A (Q71UN1_HUMAN)	-0.1	0.11	0	2/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s2083	ENSG00000139618	BRCA2	-0.09	0.1	0	1/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s2085	ENSG00000139618	BRCA2	-0.08	0.06	0	1/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s4221	ENSG00000088305	DNMT3B	0.05	0.05	0	1/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s4223	ENSG00000088305	DNMT3B	-0.25	0.21	0	2/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s19031	ENSG00000101003	GINS1	-0.12	0.06	0	1/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s19030	ENSG00000101003	GINS1	-0.03	0.08	0	2/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s50854	ENSG00000187166	H1FNT	-0.22	0.04	0	2/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s196071	ENSG00000187166	H1FNT	-0.12	0.11	1/4	2/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s36004	ENSG00000147316	MCPH1	-0.23	0.24	0	3/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s36005	ENSG00000147316	MCPH1	-0.37	0.73	0	3/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s9129	ENSG00000136997	MYC	0.12	-0.07	0	0	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s9131	ENSG00000136997	MYC	-0.05	0.06	0	1/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s21184	ENSG00000119408	NEK6	0.18	-0.04	1/4	0	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s21185	ENSG00000119408	NEK6	-0.11	0.15	1/3	2/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s34604	ENSG00000121274	PAPD5	-0.05	0.05	0	1/3	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s34602	ENSG00000121274	PAPD5	-0.21	0.18	0	2/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s20866	ENSG00000186141	POLR3C	0.01	0.03	0	0	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s20867	ENSG00000186141	POLR3C	-0.15	0.11	0	2/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s22005	ENSG00000184489	PTP4A3	-0.07	0.02	0	0	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s22007	ENSG00000184489	PTP4A3	-0.11	0.12	0	3/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s21307	ENSG00000183207	RUVBL2	0.05	0.15	0	2/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s21308	ENSG00000183207	RUVBL2	0.14	-0.01	0	0	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s12835	ENSG00000196470	SIAH1	0.22	-0.07	1/4	0	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s12836	ENSG00000196470	SIAH1	-0.09	0.11	0	2/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s15751	ENSG00000072501	SMC1A	0.03	0.07	0	2/4	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s15752	ENSG00000072501	SMC1A	0.28	-0.07	1/2	0	longer prophase	increased duration of mitotic prophase	CMPO_0000328			
s20068	ENSG00000105127	AKAP8	0.25	-0.07	2/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s20069	ENSG00000105127	AKAP8	-0.16	0.03	1/4	1/4	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s6323	ENSG00000185024	BRF1	0.23	-0.01	3/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s6324	ENSG00000185024	BRF1	0.41	-0.1	3/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s23883	ENSG00000094916	CBX5	0.28	-0.07	2/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s23885	ENSG00000094916	CBX5	0.26	0.06	2/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s41424	ENSG00000146670	CDCA5	0.31	-0.04	2/4	1/4	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s41425	ENSG00000146670	CDCA5	0.28	-0.05	1/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s31393	ENSG00000072609	CHFR	0.33	-0.07	2/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s31392	ENSG00000072609	CHFR	-0.03	-0.03	0	1/3	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s73	ENSG00000116478	HDAC1	0.07	-0.03	0	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s74	ENSG00000116478	HDAC1	0.32	-0.08	3/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s51519	ENSG00000188662	HILS1	-0.05	0.02	0	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s51520	ENSG00000188662	HILS1	0.13	0.01	2/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s7911	ENSG00000079616	KIF22	0.18	-0.03	2/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s7912	ENSG00000079616	KIF22	-0.09	0.03	0	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s23530	ENSG00000151503	NCAPD3	0.61	-0.22	2/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s23531	ENSG00000151503	NCAPD3	0.42	-0.06	2/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s226802	ENSG00000146918	NCAPG2	0.43	-0.12	2/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s29693	ENSG00000146918	NCAPG2	0.48	-0.07	3/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s26586	ENSG00000025770	NCAPH2	0.51	-0.08	3/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s26584	ENSG00000025770	NCAPH2	0.49	-0.09	2/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s19892	ENSG00000102898	NUTF2	0.18	-0.03	2/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s19893	ENSG00000102898	NUTF2	-0.1	-0.03	1/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s34567	ENSG00000181191	PJA1	0.02	0	1/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s34566	ENSG00000181191	PJA1	0.23	-0.06	2/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s11769	ENSG00000132341	RAN	0.44	-0.07	3/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s11767	ENSG00000132341	RAN	0.24	-0.16	3/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s17997	ENSG00000183291	SEP15_HUMAN	-0.04	0.1	0	2/3	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s17998	ENSG00000183291	SEP15_HUMAN	0.32	-0.03	2/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s20793	ENSG00000136824	SMC2	0.4	-0.08	3/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s20794	ENSG00000136824	SMC2	0.42	-0.04	4/4	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s19539	ENSG00000113810	SMC4	0.47	-0.22	1/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s19540	ENSG00000113810	SMC4	0.41	-0.02	2/2	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s13770	ENSG00000162367	TAL1	-0.01	-0.01	0	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s224705	ENSG00000162367	TAL1	0.35	-0.01	2/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s14304	ENSG00000198900	TOP1	0.19	-0.07	2/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s14305	ENSG00000198900	TOP1	0.03	0.07	0	1/2	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s25158	ENSG00000204104	TRAF3IP1	0.17	0.01	2/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s25157	ENSG00000204104	TRAF3IP1	0.28	-0.04	3/3	0	shorter prophase	decreased duration of mitotic prophase	CMPO_0000329			
s22777	ENSG00000100813	ACIN1	0.04	-0.06	1/3	0						
s22776	ENSG00000100813	ACIN1	-0.05	0.01	0	0						
s17440	ENSG00000156709	AIFM1	0.01	-0.04	0	0						
s17441	ENSG00000156709	AIFM1	-0.01	-0.11	0	0						
s39570	ENSG00000042286	AIFM2	0.08	0.02	1/3	0						
s39571	ENSG00000042286	AIFM2	-0.12	-0.08	0	1/3						
s31700	ENSG00000116539	ASH1L	-0.07	0.06	1/4	1/4						
s31701	ENSG00000116539	ASH1L	0.02	0.04	0	0						
s1708	ENSG00000149311	ATM	0.17	-0.1	1/2	0						
s1709	ENSG00000149311	ATM	0.18	-0.08	1/3	0						
s196	ENSG00000087586	AURKA	-0.03	0.03	1/3	0						
s197	ENSG00000087586	AURKA	not available	not available	0	0						
s2379	ENSG00000042493	CAPG	0.08	-0.05	0	0						
s2380	ENSG00000042493	CAPG	not available	not available	not available	not available						
s2414	ENSG00000196954	CASP4	0.08	0.08	0	1/3						
s224915	ENSG00000196954	CASP4	0.11	-0.04	1/4	0						
s2744	ENSG00000094804	CDC6	0.01	0	0	0						
s2745	ENSG00000094804	CDC6	-0.03	-0.03	0	0						
s2908	ENSG00000115163	CENPA	not available	not available	0	0						
