Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Gene Name	Gene Model Status	Gene Symbol Synonyms	Severity of Adhesion Defect	Gene In Secondary Screen	Has Phenotype	Phenotype Annotation Level	Phenotype 1
Primary_001	A1	Primary_001_A1	CG1004	rho	rhomboid	Current	rhomboid1 Rhomboid-1 Rhomboid Rhomboid 1 rhomboid/veinlet Veinlet rhomboid-1 veinlet DMRHOa Rho rho-1 RHO Dmel\\rho rho1 DMRHOb rhom DRORHO rhomboid/veinlet RHOb Ve iks Dmrho CG1004 ve DMRHO Rho-1 Rho1	1	no			
Primary_001	A10	Primary_001_A10	CG1046	zen	zerknullt	Current	zerknuellt zerknullt 1 Zerknullt zerknult CG1046 Zen ZEN ZEN VRE dm-zen zen1 z1 BG:DS00276.9 l(3)84Ad	1	no			
Primary_001	A11	Primary_001_A11	CG1048	zen2	zerknullt-related	Current	Zerknullt-related zerknullt 2 zen-pattern-related zpr BG:DS00276.10 z2 CG1048	1	no			
Primary_001	A12	Primary_001_A12	CG1049	Cct1	CTP:phosphocholine cytidylyltransferase 1	Current	CTP:phosphocholine cytidylyltransferase Phosphocholine cytidylyltransferase cytidylyltransferase 1 CCT1 cct1 CG1049 CT41283 Cct	1	no			
Primary_001	A2	Primary_001_A2	CG1009	Psa	Puromycin sensitive aminopeptidase	Current	lethal (3) 06226 puromycin-sensitive-aminopeptidase CG1009 l(3)06226 PSA dPsa dPSA	1	no			
Primary_001	A3	Primary_001_A3	CG1017	Mfap1	Microfibril-associated protein 1	Current	microfibril-associated protein 1 CG1017 dmfap1 CG1017	2	no	yes	gene	defective cell-cell aggregation
Primary_001	A4	Primary_001_A4	CG1019	Mlp84B	Muscle LIM protein at 84B	Current	LIM protein 84B Muscle-specific LIM protein at 84B Muscle LIM protein Mlmu84B DmLIM-3 MLP84B CG1019 Mlp84b Mlp mlp84B dMlp84B mlp DLim-3 MLP	1	no			
Primary_001	A5	Primary_001_A5	CG1021	Dmtn	Dementin	Current	dmtn anon-WO0118547.375 CG1021	1	no			
Primary_001	A6	Primary_001_A6	CG1028	Antp	Antennapedia	Current	Humeral Aus Atennapedia Dm-Antennapedia Nasobemia Sex comb extra Antenapedia Antennapedia P1 Antennapedia P2 Antennapaedia Sex combs extra antennapedia Aus antp AntP1 Antp P1 CG1028 Scx Hu AntP DMANTPE1 ANTC Antp1 ANT-P Ns DRO15DC96Z ANT-C BG:DS07700.1 Antp P2 DmAntp l(3)84Ba ANTP Ant 3.4	1	no			
Primary_001	A7	Primary_001_A7	CG1030	Scr	Sex combs reduced	Current	sex-combs reduced Multiple sex comb sex combs reduced Sex Combs Reduced Multi sex combs CG1030 BG:DS07876.2 Msc l(3)84Af scr SCR DmScr	1	no			
Primary_001	A8	Primary_001_A8	CG1031	alpha-Est1	alpha-Esterase-1	Current	fragment A A alpha-Est1 alpha est1 Q9VIC3_DROME alphaE1 Alpha-Est1 CG1031 Est1 DmalphaE1 aE1	1	no			
Primary_001	A9	Primary_001_A9	CG1041	CG1041		Current		1	no			
Primary_001	B1	Primary_001_B1	CG1056	5-HT2A	5-hydroxytryptamine (serotonin) receptor 2A	Current	5-HT[[2]]Dro receptor lethal (3) 82CDb Serotonin receptor 2 5-HT[2]Dro 5-HT[[2Dro]] 5HT2Dro 5HT-R82A d5-HT2 5-HT2Dro 5HT2 CG1056 5-HT2 5-ht2Dro 5-HT[[2]] 5HT-dro[[1]] l(3)82CDb 5-HT[[2]]Dro 5HT2-Dro Dm5HT2 5HT[[2Dro]]	1	no			
Primary_001	B10	Primary_001_B10	CG1070	Alh	Alhambra	Current	sticking alhambra ALHAMBRA Dalf l(3)j13A6 l(3j8C8 l(3)r13 l(3)g2 l(3)84Be l(3)g5 l(3)j8c8 stk anon-WO0118547.226 dAF10 AF10 l(3)j8C8 CG1070	1	no			
Primary_001	B11	Primary_001_B11	CG1071	E2f2	E2F transcription factor 2	Current	CG1071 dE2f2 de2f2 dE2F-2 e2f2 dE2F2 E2F E2F2	1.33	no			
Primary_001	B12	Primary_001_B12	CG1072	Awh	Arrowhead	Current	arrowhead lethal(3)63Ea l(3)64Ea CG1072 awh l(3)63Ea l63Ea l(3)SH9 l(3)63Ea/Awh	1	no			
Primary_001	B2	Primary_001_B2	CG1057	MED31	Mediator complex subunit 31	Current	Mediator Med31 p36 CG1057 dSOH1 Trap18 BcDNA:GM28912 dTRAP18	3	no	yes	gene	defective cell-cell aggregation
Primary_001	B3	Primary_001_B3	CG1058	rpk	ripped pocket	Current	gonad-specific amiloride-sensitive sodium channel 1 GNaC1 dGNaC1 CG1058 RPK ppk2	1.33	no			
Primary_001	B4	Primary_001_B4	CG1059	Karybeta3	Karyopherin beta 3	Current	Karyopherin beta Karybeta3 lethal (3) 82CDd Karyopherin beta 3 l(3)j3A4 l(3)j7E8 Karybeta3 CG1059 l(3)82CDd Kary-beta3	1	no			
Primary_001	B5	Primary_001_B5	CG1062	CG34127		Current	Drosokinin receptor CG32465 CG18291 CG1062 DNLG3 CG14597	1	no			
