Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Regulatory Hub	Nearest Human Homologue	Gene Name	Gene Model Status	Gene Symbol Synonyms	Severity of Adhesion Defect in Primary Screen	Severity of Adhesion Defect in Secondary Screen	Severity of Adhesion Defect in Secondary Screen (average of both repeats)	Has Phenotype	Phenotype Annotation Level	Phenotype 1
Secondary_001a	A1	Secondary_001a_A1	CG2146	didum	N/A	Myosin V	dilute class unconventional myosin	Current	myosin V shorty Myosin V myosin-V MyosinV soy DmV NEST:bs14c05 myoV Myo5 M5 MyoV NMC7 MYOV MyoV43CD CG2146 Didum 43CD	2	1	1.17			
Secondary_001a	A10	Secondary_001a_A10	CG3849	Lasp	N/A	LASP1/2	Lasp	Current	CG3849 anon-73Bd lasp cDNA B	1.67	1	1.17			
Secondary_001a	A11	Secondary_001a_A11	CG3885	sec3	Trafficking pathways	Sec3	sec3	Current	CG3885 CG3885 Sec3	1.67	1.67	1.83	yes	gene	defective cell-cell aggregation
Secondary_001a	A12	Secondary_001a_A12	CG4003	pont	Nuclear-associated pathways	RUVBL1	pontin	Current	dPontin dpontin Pontin CG4003 dPon pon PONT dPontin anon-WO0118547.698 Tip49/Pontin Tip49 Pont dpon 0229/05 Pontin l(3)S022905	1.67	3.33	3.17	yes	gene	defective cell-cell aggregation
Secondary_001a	A2	Secondary_001a_A2	CG1212	p130CAS	Cell adhesion pathways	p130CAS	p130CAS	Current	CG1212 CT1293 Dcas DCas	1.67	2	2	yes	gene	defective cell-cell aggregation
Secondary_001a	A3	Secondary_001a_A3	CG1412	RhoGAP19D	Adherens junction pathways	ARHGAP21	Rho GTPase activating protein at 19D	Current	RhoGAP19D CG1412 1412	1.67	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_001a	A4	Secondary_001a_A4	CG1804	kek6	Other pathways	LRRC24	kek6	Current	kekkon-like CG1804	2.33	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_001a	A5	Secondary_001a_A5	CG2092	scra	Actin cytoskeletal pathways	Anillin	scraps	Current	Actin-binding protein 8 lethal (2) k08255 Anillin annilin Scraps anillin CG2092 Anil Scra ani Ani l(2)k08255 ABP8 Anillin anil Abp8 l(2)03427 anillin l(2)43Ec	1.67	3.33	2.67	yes	gene	defective cell-cell aggregation
Secondary_001a	A6	Secondary_001a_A6	CG32659	Ten-a	Cell adhesion pathways	TENM1/2/3/4	Tenascin accessory	Current	tenascin-like molecule accessory Teneurin CG12720 CG42338 CG15733 CG2590 CG2578 DmtenA CG18182 CG32659 tenA(AT)[[14]] ten[a] tenA Ten11A CG12720 Ten[a] CG42338 ten-a Dmtena CG11270 1.2 CG15733		1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_001a	A7	Secondary_001a_A7	CG32659	Ten-a	N/A	TENM1/2/3/4	Tenascin accessory	Current	tenascin-like molecule accessory Teneurin CG12720 CG42338 CG15733 CG2590 CG2578 DmtenA CG18182 CG32659 tenA(AT)[[14]] ten[a] tenA Ten11A CG12720 Ten[a] CG42338 ten-a Dmtena CG11270 1.2 CG15733		1.67	1.5	yes	gene	defective cell-cell aggregation
Secondary_001a	A8	Secondary_001a_A8	CG2534	cno	Adherens junction pathways	Afadin	canoe	Current	CG42312 Canoe lips afadin dorsal holes A misty CG31537 Afadin Cno CG42312 mis AF-6 Canoe lip dlhA CG2534 canoe CG31537 cno? anon-WO0172774.47	1.67	3.33	3.17	yes	gene	defective cell-cell aggregation
Secondary_001a	A9	Secondary_001a_A9	CG2977	Inx7	Other pathways	N/A	Innexin 7	Current	pas related protein 7 innexin 7 Innexin7 innexin7 inx-7 CG2977 D-inx-7 Dm-inx7 CG32731 FBpp0070994 inx7 prp7	2	2	2.5	yes	gene	defective cell-cell aggregation
