Plate	Well	hORFeome V5.1 Internal Identifier	Entrez Gene ID	Symbol	Description	Scored as nuclear foci at initial stage	Subcellular localization based on secondary screening	Scored subcellular localization by secondary screening
Secondary Screen	A1	9994	84240	ZCCHC9	"Homo sapiens zinc finger, CCHC domain containing 9"	1	1	Nucleolus
Secondary Screen	A10	3905	8926	SNRPN	Homo sapiens SNRPN upstream reading frame	1	1	coilin/SMN
Secondary Screen	A100	6766	79080	CCDC86	Homo sapiens hypothetical protein MGC2574	1	1	Nucleolus
Secondary Screen	A101	975	6838	SURF6	Homo sapiens surfeit 6	1	1	Nucleolus
Secondary Screen	A102	5387	23212	RRS1	Homo sapiens RRS1 ribosome biogenesis regulator homolog (S. cerevisiae	1	1	Nucleolus
Secondary Screen	A103	3699	7572	ZNF24	Homo sapiens zinc finger protein 24 (KOX 17	1	1	p54
Secondary Screen	A104	6372	7746	ZNF193	Homo sapiens zinc finger protein 193	1	1	UNKNOWN
Secondary Screen	A105	3270	8498	RANBP3	Homo sapiens RAN binding protein 3	1	1	UNKNOWN
Secondary Screen	A106	1339	55900	ZNF302	Homo sapiens zinc finger protein 302	1	1	UNKNOWN
Secondary Screen	A107	2227	7050	TGIF1	"Homo sapiens TGFB-induced factor (TALE family homeobox), transcript variant 1"	1	1	PML
Secondary Screen	A108	9698	79576	NKAP	Homo sapiens NF-kappaB activating protein	1	1	SC-35
Secondary Screen	A109	3154	8517	IKBKG	"Homo sapiens inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma"	1	1	UNKNOWN
Secondary Screen	A11	2620	6615	SNAI1	Homo sapiens snail homolog 1 (Drosophila	1	1	UNKNOWN
Secondary Screen	A110	7460	55147	RBM23	Homo sapiens RNA binding motif protein 23	1	1	SC-35
Secondary Screen	A111	9304	55758	RCOR3	Homo sapiens REST corepressor 3	1	1	UNKNOWN
Secondary Screen	A112	8163	80726	KIAA1683	Homo sapiens KIAA1683	1	1	p54
Secondary Screen	A113	3506	23378	RRP8	Homo sapiens KIAA0409 protein	1	1	Nucleolus
Secondary Screen	A114	6830	9721	GPRIN2	Homo sapiens KIAA0514	1	1	PML
Secondary Screen	A115	5251	84838	ZNF496	Homo sapiens zinc finger protein 496	1	1	UNKNOWN
Secondary Screen	A116	5827		LMNB2	Homo sapiens lamin B2	1	1	p54
Secondary Screen	A117	1724	164127	C1orf65	Homo sapiens hypothetical protein FLJ35728	1	1	UNKNOWN
