ORF Identifier	Gene Identifier	Gene Symbol	Scored As Nuclear Foci At Initial Stage	Subcellular Localization Based On Secondary Screening	Scored Subcellular Localization By Secondary Screening	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8
10141	157	ADRBK2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
10062	331	XIAP	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
2737	1058	CENPA	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6673	1186	CLCN7	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
11851	1196	CLK2	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
9595	1535	CYBA	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
10895	1675	CFD	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6786	1736	DKC1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
8685	1912	PHC2	yes	yes	BMI1	yes	single replicate of reagent							protein localized in polycomb bodies	
4345	2353	FOS	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
12504	2355	FOSL2	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
5885	2537	IFI6	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
6313	2623	GATA1	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
2433	2810	SFN	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
12472	2961	GTF2E2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6024	2962	GTF2F1	yes	yes	coilin/SMN	yes	single replicate of reagent		protein localized in Cajal bodies						
14695	3084	NRG1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
154	3104	ZBTB48	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
4079	3329	HSPD1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
14974	3550	IK	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
8854	3609	ILF3	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
14292	3609	ILF3	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
2370	4001	LMNB1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
1580	4113	MAGEB2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
11698	4154	MBNL1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
7976	4234	METTL1	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
12387	4665	NAB2	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
6101	4677	NARS	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
10981	4747	NEFL	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
2092	4800	NFYA	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
55606	4839	NOP2	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3890	4841	NONO	yes	yes	p54	yes	single replicate of reagent					protein localized in paraspeckles			
3078	4869	NPM1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3966	4869	NPM1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
6392	4869	NPM1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7517	4869	NPM1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
7543	4869	NPM1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
3572	5371	PML	yes	yes	PML	yes	single replicate of reagent						protein localized in PML bodies		
9980	5450	POU2AF1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
5569	5619	PRM1	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
13228	5684	PSMA3	yes	yes	SC-35	yes	single replicate of reagent			protein localized in nuclear speckles					
13637	5699	PSMB10	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
624	5725	PTBP1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
4250	5725	PTBP1	yes	yes	UNKNOWN	yes	single replicate of reagent	protein localized in an uncharacterized nuclear subcompartment							
5291	5763	PTMS	yes	yes	Nucleolus	yes	single replicate of reagent				protein localized in nucleolus				
