Plate,Well Number,Well,Gene Identifier %% url=http://www.ensembl.org/id/%s,Gene Symbol,Gene Symbol Alias,Description,Control Type,Control Comments,Quality Control,Quality Control Comments,Comments,Experimental Condition[genotype],Changed in allR,Observation,Phenotype
pro-smt3allR_plate1,1,A1,YMR190C,SGS1,,Nucleolar DNA helicase of the RecQ family involved in genome integrity maintenance; regulates chromosome synapsis and meiotic joint molecule/crossover formation; similar to human BLM and WRN proteins implicated in Bloom and Werner syndromes,,,,,,pro-smt3allR,yes,more foci,the smt3allR mutant population displays an increased number of cells with foci
pro-smt3allR_plate1,2,A2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,3,A3,YHR164C,DNA2,WEB2,"Tripartite DNA replication factor with single-stranded DNA-dependent ATPase, ATP-dependent nuclease, and helicase activities; required for Okazaki fragment processing; involved in DNA repair; cell-cycle dependent localization",,,,,,pro-smt3allR,yes,no colony,
pro-smt3allR_plate1,4,A4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,5,A5,YJR138W,IML1,,"Protein of unknown function, green fluorescent protein (GFP)-fusion protein localizes to the vacuolar membrane",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,6,A6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,7,A7,YMR280C,CAT8,MSP8|DIL1,"Zinc cluster transcriptional activator necessary for derepression of a variety of genes under non-fermentative growth conditions, active after diauxic shift, binds carbon source responsive elements",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,8,A8,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,9,A9,YGL150C,Ino80,,,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,10,A10,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,11,A11,YMR229C,RRP5,,RNA binding protein with preference for single stranded tracts of U's involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,12,A12,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,13,A13,YMR176W,ECM5,,"Non-essential protein of unknown function, contains ATP/GTP-binding site motif A; null mutant exhibits cellular volume up to four times greater than wild-type, also large drooping buds with elongated necks",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,14,A14,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,15,A15,YNL242W,ATG2,APG2|AUT8|SPO72,"Peripheral membrane protein required for vesicle formation during autophagy, pexophagy, and the cytoplasm-to-vaucole targeting (Cvt) pathway; involved in Atg9p cycling between the phagophore assembly site and mitochondria",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,16,A16,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,17,A17,YPL242C,IQG1,CYK1,"Essential protein required for determination of budding pattern, promotes localization of axial markers Bud4p and Cdc12p and functionally interacts with Sec3p, localizes to the contractile ring during anaphase, member of the IQGAP family",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,18,A18,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,19,A19,YDR217C,Rad9,,,,,,,,pro-smt3allR,no,very few cells,
pro-smt3allR_plate1,20,A20,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,21,A21,YJL092W,HPR5/SRS2,,,,,,,,pro-smt3allR,yes,more foci,the smt3allR mutant population displays an increased number of cells with foci
pro-smt3allR_plate1,22,A22,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,23,A23,YNL250W,RAD50,,,,,,,,pro-smt3allR,yes,more foci,the smt3allR mutant population displays an increased number of cells with foci
pro-smt3allR_plate1,24,A24,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,25,B1,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,26,B2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,27,B3,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,28,B4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,29,B5,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,30,B6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,31,B7,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,32,B8,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,33,B9,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,34,B10,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,35,B11,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,36,B12,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,37,B13,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,38,B14,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,39,B15,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,40,B16,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,41,B17,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,42,B18,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,43,B19,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,44,B20,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,45,B21,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,46,B22,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,47,B23,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,48,B24,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,49,C1,YBL105C,PKC1,STT1|HPO2|CLY15,"Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha, beta, and gamma isoforms of mammalian protein kinase C (PKC",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,50,C2,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,51,C3,YPL012W,RRP12,,Protein required for export of the ribosomal subunits; associates with the RNA components of the pre-ribosomes; contains HEAT-repeats,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,52,C4,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,53,C5,YGR233C,PHO81,phoS,"Cyclin-dependent kinase (CDK) inhibitor, regulates Pho80p-Pho85p and Pcl7p-Pho85p cyclin-CDK complexes in response to phosphate levels; inhibitory activity for Pho80p-Pho85p requires myo-D-inositol heptakisphosphate (IP7) generated by Vip1p",,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,54,C6,,,,,,,,,no annotation available; no image available,,,,
pro-smt3allR_plate1,55,C7,YLR032W,RAD5,SNM2|REV2,DNA helicase proposed to promote replication fork regression during postreplication repair by template switching; RING finger containing ubiquitin ligase; stimulates the synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p,,,,,,pro-smt3allR,no,,
pro-smt3allR_plate1,56,C8,,,,,,,,,no annotation available; no image available,,,,
