Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Experimental Condition[genotype]	Changed in allR	Observation	Phenotype
smt3allR_plate1	G17	smt3allR_plate1_G17	YAL041W	CDC24	smt3allR	yes	not at bud neck	the smt3allR mutant does not show localization at the bud neck
pro-smt3allR_plate1	G17	pro-smt3allR_plate1_G17	YAL041W	CDC24	pro-smt3allR	yes		
WT_plate1	G17	WT_plate1_G17	YAL041W	CDC24	wild type smt3	yes		
pro-smt3allR_plate4	M19	pro-smt3allR_plate4_M19	YAL059W	ECM1	pro-smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
smt3allR_plate4	M19	smt3allR_plate4_M19	YAL059W	ECM1	smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
WT_plate4	M19	WT_plate4_M19	YAL059W	ECM1	wild type smt3	yes		
pro-smt3allR_plate2	A17	pro-smt3allR_plate2_A17	YAR007C	RFA1	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate2	A17	smt3allR_plate2_A17	YAR007C	RFA1	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	A17	WT_plate2_A17	YAR007C	RFA1	wild type smt3	yes		
pro-smt3allR_plate1	O9	pro-smt3allR_plate1_O9	YAR014C	BUD14	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate1	O9	smt3allR_plate1_O9	YAR014C	BUD14	smt3allR	yes	no colony	
WT_plate1	O9	WT_plate1_O9	YAR014C	BUD14	wild type smt3	yes		
pro-smt3allR_plate4	O13	pro-smt3allR_plate4_O13	YBL023C	MCM2	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate4	O13	smt3allR_plate4_O13	YBL023C	MCM2	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate4	O13	WT_plate4_O13	YBL023C	MCM2	wild type smt3	yes		
pro-smt3allR_plate3	M3	pro-smt3allR_plate3_M3	YBL026W	LSM2	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	M3	smt3allR_plate3_M3	YBL026W	LSM2	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	M3	WT_plate3_M3	YBL026W	LSM2	wild type smt3	yes		
pro-smt3allR_plate4	E1	pro-smt3allR_plate4_E1	YBR041W	FAT1	pro-smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
smt3allR_plate4	E1	smt3allR_plate4_E1	YBR041W	FAT1	smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
WT_plate4	E1	WT_plate4_E1	YBR041W	FAT1	wild type smt3	yes		
pro-smt3allR_plate1	K19	pro-smt3allR_plate1_K19	YBR094W	PBY1	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	K19	smt3allR_plate1_K19	YBR094W	PBY1	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate1	K19	WT_plate1_K19	YBR094W	PBY1	wild type smt3	yes		
pro-smt3allR_plate4	E23	pro-smt3allR_plate4_E23	YBR127C	VMA2	pro-smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
smt3allR_plate4	E23	smt3allR_plate4_E23	YBR127C	VMA2	smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
WT_plate4	E23	WT_plate4_E23	YBR127C	VMA2	wild type smt3	yes		
pro-smt3allR_plate4	K15	pro-smt3allR_plate4_K15	YBR187W	GDT1	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate4	K15	smt3allR_plate4_K15	YBR187W	GDT1	smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
WT_plate4	K15	WT_plate4_K15	YBR187W	GDT1	wild type smt3	yes		
pro-smt3allR_plate4	G19	pro-smt3allR_plate4_G19	YBR205W	KTR3	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate4	G19	smt3allR_plate4_G19	YBR205W	KTR3	smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
WT_plate4	G19	WT_plate4_G19	YBR205W	KTR3	wild type smt3	yes		
smt3allR_plate3	O3	smt3allR_plate3_O3	YBR233W-A	DAD3	smt3allR	yes	fish hook	the smt3allR mutant displays spindles with fish hook morphology1
pro-smt3allR_plate3	O3	pro-smt3allR_plate3_O3	YBR233W-A	DAD3	pro-smt3allR	yes		
WT_plate3	O3	WT_plate3_O3	YBR233W-A	DAD3	wild type smt3	yes		
pro-smt3allR_plate2	A3	pro-smt3allR_plate2_A3	YBR259W	YBR259W	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate2	A3	smt3allR_plate2_A3	YBR259W	YBR259W	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate2	A3	WT_plate2_A3	YBR259W	YBR259W	wild type smt3	yes		
pro-smt3allR_plate1	I9	pro-smt3allR_plate1_I9	YCR077C	PAT1	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate1	I9	smt3allR_plate1_I9	YCR077C	PAT1	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate1	I9	WT_plate1_I9	YCR077C	PAT1	wild type smt3	yes		
pro-smt3allR_plate2	E15	pro-smt3allR_plate2_E15	YDL020C	RPN4	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate2	E15	smt3allR_plate2_E15	YDL020C	RPN4	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate2	E15	WT_plate2_E15	YDL020C	RPN4	wild type smt3	yes		
pro-smt3allR_plate3	K9	pro-smt3allR_plate3_K9	YDL053C	PBP4	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate3	K9	smt3allR_plate3_K9	YDL053C	PBP4	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate3	K9	WT_plate3_K9	YDL053C	PBP4	wild type smt3	yes		
pro-smt3allR_plate3	G15	pro-smt3allR_plate3_G15	YDL059C	RAD59	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	G15	smt3allR_plate3_G15	YDL059C	RAD59	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	G15	WT_plate3_G15	YDL059C	RAD59	wild type smt3	yes		
pro-smt3allR_plate4	O1	pro-smt3allR_plate4_O1	YDL060W	TSR1	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate4	O1	smt3allR_plate4_O1	YDL060W	TSR1	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate4	O1	WT_plate4_O1	YDL060W	TSR1	wild type smt3	yes		
pro-smt3allR_plate4	A1	pro-smt3allR_plate4_A1	YDL085C-A	YDL085C-A	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate4	A1	smt3allR_plate4_A1	YDL085C-A	YDL085C-A	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate4	A1	WT_plate4_A1	YDL085C-A	YDL085C-A	wild type smt3	yes		
pro-smt3allR_plate2	E21	pro-smt3allR_plate2_E21	YDL101C	DUN1	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate2	E21	smt3allR_plate2_E21	YDL101C	DUN1	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate2	E21	WT_plate2_E21	YDL101C	DUN1	wild type smt3	yes		
pro-smt3allR_plate2	M23	pro-smt3allR_plate2_M23	YDL134C	PPH21	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate2	M23	smt3allR_plate2_M23	YDL134C	PPH21	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate2	M23	WT_plate2_M23	YDL134C	PPH21	wild type smt3	yes		
pro-smt3allR_plate4	O23	pro-smt3allR_plate4_O23	YDL142C	CRD1	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate4	O23	smt3allR_plate4_O23	YDL142C	CRD1	smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
