siRNA Identifier	Gene Identifier	Gene Symbol	siRNA Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18	Phenotype 19	Phenotype 20	Phenotype 21	Phenotype 22	Phenotype 23	Phenotype 24	Phenotype 25	Phenotype 26
DRSC04096	FBgn0034975	enok	yes	yes	single replicate of reagent	decreased cell size		cell shape variable			disorganised peripheral actin				decreased level of actin							microtubules disorganised	microtubule processes							loss of cell monolayer	
DRSC11256	FBgn0002284	Pros26	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11257	FBgn0023174	Prosbeta2	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC07516	FBgn0023175	Prosalpha7	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16801	FBgn0026380	Prosbeta3	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC18713	FBgn0028685	Rpt4	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC07542	FBgn0028687	Rpt1	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC06100	FBgn0033571	Rpb5	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16501	FBgn0037742	Rpt3R	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC07556	FBgn0040273	Spt5	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC02282	FBgn0040954	CG13779	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16798	FBgn0086134	Pros25	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC12186	FBgn0250746	Prosbeta7	yes	yes	single replicate of reagent	decreased cell size		cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC03507	FBgn0000308	chic	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent						decreased level of actin					increased nuclear actin			microtubule processes							loss of cell monolayer	
DRSC17723	FBgn0000042	Act5C	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent						decreased level of actin								microtubule processes			increased number of multinucleate cells				loss of cell monolayer	
DRSC04835	FBgn0000043	Act42A	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent						decreased level of actin								microtubule processes			increased number of multinucleate cells				loss of cell monolayer	
DRSC14104	FBgn0000046	Act87E	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent						decreased level of actin								microtubule processes			increased number of multinucleate cells				loss of cell monolayer	
DRSC17195	FBgn0013749	Arf102F	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent						decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC01952	FBgn0028868	CG4701	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent						decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC03201	FBgn0032884	Pomp	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent						decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC07262	FBgn0033764	CG8776	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent						decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC17135	FBgn0051992	gw	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent						decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16032	FBgn0011785	BRWD3	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent									decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC20341	FBgn0001250	if	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent																				decreased cell number	loss of cell monolayer	
DRSC08686	FBgn0004636	R	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent																				decreased cell number	loss of cell monolayer	
DRSC18799	FBgn0004657	mys	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent																				decreased cell number	loss of cell monolayer	
DRSC07446	FBgn0011604	Iswi	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent																				decreased cell number	loss of cell monolayer	
DRSC11868	FBgn0028427	Ilk	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent																				decreased cell number	loss of cell monolayer	
DRSC07109	FBgn0033359	CG8213	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent																				decreased cell number	loss of cell monolayer	
DRSC10066	FBgn0259679	CG42348	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent																				decreased cell number	loss of cell monolayer	
DRSC11300	FBgn0260442	rhea	yes	yes	single replicate of reagent	decreased cell size			cell shape round or non-adherent																				decreased cell number	loss of cell monolayer	
DRSC10027	FBgn0052138	CG32138	yes	yes	single replicate of reagent	decreased cell size				cell shape processes or spiky or stretchy		increased number of actin stress fibres						decreased peripheral actin			microtubule clumps										
DRSC14688	FBgn0039041	CG13838	yes	yes	single replicate of reagent	decreased cell size									decreased level of actin						microtubule clumps			decreased level of microtubules							
DRSC03456	FBgn0011722	Tig	yes	yes	single replicate of reagent	decreased cell size									decreased level of actin						microtubule clumps										
DRSC00833	FBgn0015521	oho23B	yes	yes	single replicate of reagent	decreased cell size									decreased level of actin						microtubule clumps										
DRSC02165	FBgn0022069	Nnp-1	yes	yes	single replicate of reagent	decreased cell size									decreased level of actin						microtubule clumps										
DRSC17218	FBgn0023213	eIF4G	yes	yes	single replicate of reagent	decreased cell size									decreased level of actin						microtubule clumps										
