siRNA Identifier	Gene Identifier	Gene Symbol	Gene Description	Deviation	Overall Strong Inhibitor Gene Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1
SI00621215	ENSG00000001460	C1orf201	chromosome 1 open reading frame 201	1.6477	yes	yes	multiple replicates of reagent	strong inhibition of secretion
124304	ENSG00000001460	C1orf201	chromosome 1 open reading frame 201		yes			
124305	ENSG00000001460	C1orf201	chromosome 1 open reading frame 201		yes			
SI00637700	ENSG00000003249	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1	1.229	yes	yes	multiple replicates of reagent	strong inhibition of secretion
4916	ENSG00000003402	CFLAR	CASP8 and FADD-like apoptosis regulator	3.6717	yes	yes	multiple replicates of reagent	strong inhibition of secretion
4822	ENSG00000003402	CFLAR	CASP8 and FADD-like apoptosis regulator	3.5893	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00057218	ENSG00000003402	CFLAR	CASP8 and FADD-like apoptosis regulator	3.1526	yes	yes	multiple replicates of reagent	strong inhibition of secretion
22086	ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44		yes			
22182	ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44		yes			
SI00471779	ENSG00000007080	CCDC124	coiled-coil domain containing 124	2.211	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00098700	ENSG00000007350	TKTL1	transketolase-like 1	3.0678	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00742294	ENSG00000007866	TEAD3	TEA domain family member 3	1.9769	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00761264	ENSG00000009950	MLXIPL	MLX interacting protein-like	2.6504	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00309645	ENSG00000010626	LRRC23	leucine rich repeat containing 23	2.7209	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00290010	ENSG00000011198	ABHD5	abhydrolase domain containing 5	2.9809	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00344806	ENSG00000011260	UTP18	"UTP18, small subunit (SSU) processome component, homolog (yeast)"	2.8051	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02649206	ENSG00000011304	PTBP1	polypyrimidine tract binding protein 1	1.6992	yes	yes	multiple replicates of reagent	strong inhibition of secretion
137461	ENSG00000011347	SYT7	synaptotagmin VII	1.7669	yes	yes	multiple replicates of reagent	strong inhibition of secretion
137462	ENSG00000011347	SYT7	synaptotagmin VII		yes			
SI00435267	ENSG00000013583	HEBP1	heme binding protein 1	2.0707	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00628404	ENSG00000015479	MATR3	matrin 3	2.0003	yes	yes	multiple replicates of reagent	strong inhibition of secretion
