"# Section with generic information about the study including title, description, publication details (if applicable) and contact details"						
# Study						
Comment[IDR Study Accession]	idr0011					
Study Title	Protein Kinase C and the stress response pathways are required for kinetochore homeostasis.					
Study Type	high content screen					
Study Type Term Source REF	EFO					
Study Type Term Accession	EFO_0007550					
Study Description	Kinetochores serve both a structural role linking chromosomes to the mitotic spindle and a regulatory role, controlling the timing of mitosis via the spindle assembly checkpoint. To identify proteins that regulate the kinetochore we used a genome-wide fluorescence microscopy approach. We combined an array of mutants of either non-essential gene deletions or essential temperature-sensitive alleles with fluorescently tagged spindle pole bodies (centrosome) and outer kinetochores. Quantitative and qualitative analysis revealed mutants that affect the levels and distribution of kinetochores respectively. These mutants are enriched for those involved in mRNA processing, chromatin organization, DNA replication/repair and mitosis. Our data show that the Pkc1 kinase maintains the kinetochore focus via its ability to prevent cell stress and this phenotype is rescued by an osmotic stabilizer. These data support the notion that kinetochore and microtubule homeostasis are perturbed by the stress response pathways. Hence this observation provides a candidate mechanism for extracellular stress leading to chromosome segregation defects.					
Study Organism	Saccharomyces cerevisiae					
Study Organism Term Source REF	NCBITaxon					
Study Organism Term Accession	NCBITaxon_4932					
Study Screens Number	5					
Study External URL						
Study Public Release Date	2017-01-18					
						
# Study Publication						
Study PubMed ID						
Study Publication Title	Protein Kinase C and the stress response pathways are required for kinetochore homeostasis.					
Study Author List	Ledesma-Fernández E, Herrero E, Ólafsson G, Thorpe PH					
Study Publication Preprint	https://www.biorxiv.org/content/early/2016/09/28/078196					
Study PMC ID						
Study DOI						
						
# Study License and Data DOI						
Study License	CC BY 4.0					
Study License URL	https://creativecommons.org/licenses/by/4.0/					
Study Copyright	Ledesma-Fernandez et al					
						
# Study Contacts						
Study Person Last Name	Thorpe					
Study Person First Name	Peter					
Study Person Email	peter.thorpe@crick.ac.uk					
Study Person Address	The Francis Crick Institute, 1 Midland Road, London NW1 1AT					
Study Person Roles	submitter					
						
Term Source Name	NCBITaxon	EFO	CMPO	FBbi		
Term Source URI	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/cmpo/	http://purl.obolibrary.org/obo/		
						
						
"# Section containing all information relative to each screen in the study including materials used, protocols names and description, phenotype names and description. For multiple assays this section should be repeated."						
# Screen; this section should be repeated if a study contains multiple screens						
						
Screen Number	1					
Comment[IDR Screen Name]	idr0011-ledesmafernandez-dad4/screenA	
Screen Sample Type	cell
