Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Comments
Plate1-Blue-A	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL054C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR011W	LOT6		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR024C	UBR2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR055C	SPT8		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR073C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR090W	XDJ1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR108C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL053C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR004C	THI73		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR023C	IZH3		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR054C	OSW2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR072W			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR089C	ALT1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR107W	REX3		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
