Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Restrictive Temperature	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments	Plate Issues
Plate1-TS-Blue-A	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07775	YLR026C	SED5	sed5-1	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07833	YJL034W	KAR2	kar2-159	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07867	YLR457C	NBP1	nbp1-1	38.5oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07943	YLL050C	COF1	cof1-5	37oC - 38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07976	YIL144W	TID3	tid3-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	6	A6											empty well			
Plate1-TS-Blue-A	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08145	YPL228W	CET1	cet1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	8	A8											empty well			
Plate1-TS-Blue-A	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07773	YLL031C	GPI13	gpi13-5	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07829	YDL126C	CDC48	cdc48-2	"30oC, slow at 22oC - 26oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07864	YGR140W	CBF2	cbf2-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07942	YOR122C	PFY1	pfy1-13	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07974	YGR113W	DAM1	dam1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	14	B6											empty well			
Plate1-TS-Blue-A	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08144	YOR326W	MYO2	myo2-14	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	16	B8											empty well			
Plate1-TS-Blue-A	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07772	YLL031C	GPI13	gpi13-3	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07827	YDL126C	CDC48	cdc48-3	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07862	YFL039C	ACT1	act1-155	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07938	YOR122C	PFY1	pfy1-4	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07973	YGR113W	DAM1	dam1-19	37oC - 38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	22	C6											empty well			
Plate1-TS-Blue-A	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08142	YOR157C	PUP1	pup1-1	38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	24	C8											empty well			
Plate1-TS-Blue-A	25	D1											empty well			
Plate1-TS-Blue-A	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07826	YLR088W	GAA1	gaa1-ts	38.5oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07860	YFL039C	ACT1	act1-122	38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	28	D4											empty well			
Plate1-TS-Blue-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07966	YGR113W	DAM1	dam1-9	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07992	YHR027C	RPN1	rpn1-821	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08141	YNL207W	RIO2	rio2-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	32	D8											empty well			
Plate1-TS-Blue-A	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07769	YKR002W	PAP1	pap1-1	26oC - 30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07820	YPL209C	IPL1	ipl1-2	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07854	YFL039C	ACT1	act1-112	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07921	YOR181W	LAS17	las17-14	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07962	YGR113W	DAM1	dam1-5	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07991	YFL037W	TUB2	tub2-443	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08133	YLR397C	AFG2	afg2-18	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-A	40	E8											empty well			
Plate1-TS-Blue-A	41	F1											empty well			
Plate1-TS-Blue-A	42	F2											empty well			
Plate1-TS-Blue-A	43	F3											empty well			
Plate1-TS-Blue-A	44	F4											empty well			
Plate1-TS-Blue-A	45	F5											empty well			
Plate1-TS-Blue-A	46	F6											empty well			
Plate1-TS-Blue-A	47	F7											empty well			
Plate1-TS-Blue-A	48	F8											empty well			
Plate1-TS-Blue-B	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07816	YOR149C	SMP3	smp3-2	38.5oC very slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07853	YFL039C	ACT1	act1-132	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	3	A3											empty well			
Plate1-TS-Blue-B	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07960	YGR113W	DAM1	dam1-11	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	5	A5											empty well			
Plate1-TS-Blue-B	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08132	YLR086W	SMC4	smc4-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08186	YDR356W	SPC110	spc110-221	38.5oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	8	A8											empty well			
Plate1-TS-Blue-B	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07810	YML130C	ERO1	ero1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07851	YFL039C	ACT1	act1-119	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07912	YGR179C	OKP1	okp1-5	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07958	YGL061C	DUO1	duo1-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07989	YDR189W	SLY1	sly1-ts	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08077	YOR259C	RPT4	rpt4-145	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
