Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Target-1-A	1	A1								empty well		
Target-1-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR374W	ALD4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YCR002C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	8	A8								empty well		
Target-1-A	9	B1								empty well		
Target-1-A	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR119W	SRN2	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPL254W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDR103W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR318W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPR174C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	16	B8								empty well		
Target-1-A	17	C1								empty well		
Target-1-A	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YAL026C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
