Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Plate1-TS-Blue-A-Stinger	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08235	YJR065C	ARP3	arp3-G15C	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09565	YML046W	PRP39	prp39-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07402	YBR109C	CMD1	cmd1-8	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10203	YFL034C-B	MOB2	mob2-19	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10327	YBL034C	STU1	stu1-7	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11891	YKL052C	ASK1	ask1-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12301	YOL021C	DIS3	dis3-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12311	YKL024C	URA6	ura6-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-A-Stinger	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08457	YKL112W	ABF1	abf1-103	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10073	YBR123C	TFC1	tfc1-E447K	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07246	YFL039C	ACT1	act1-101	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04861	YMR001C	CDC5	cdc5-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08749	YFR028C	CDC14	cdc14-8	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-A-Stinger	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11993	YBL093C	ROX3	rox3-182	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-A-Stinger	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12366	YHR036W	BRL1	brl1-K405I	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12314	YKL024C	URA6	ura6-5	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-A-Stinger	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08461	YOR326W	MYO2	myo2-16	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09575	YJL039C	NUP192	nup192-15	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07390	YAL041W	CDC24	cdc24-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10284	YNL061W	NOP2	nop2-10	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06553	YNL222W	SSU72	ssu72-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-A-Stinger	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11995	YDR188W	CCT6	cct6-18	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12371	YLR007W	NSE1	nse1-16	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-A-Stinger	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11742	YPL266W	DIM1	dim1-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08678	YNR011C	PRP2	prp2-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11211	YDL143W	CCT4	cct4-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
