Plate_Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Gene Annotation Comments	n	ext	ecc	Ato	Nex	Nin	Nto	AF	BC	C	M	LA	P	Cluster	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18
HT01_B11	M-019847-01	9276	COPB2		-0.652	-0.919	0	0	-0.883	0	1	0	0	1	0	0	0		yes	multiple reagents																		other phenotype
HT01_B19	M-003110-02	1445	CSK		1	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT01_B5	M-003257-02	1263	PLK3		0	0	0	0	0	0	0	1	0	0	0	0	0	12	yes	multiple reagents												actin fiber cells						
HT01_C19	M-007678-00	1164	CKS2		1	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT01_D10	M-003134-01	2264	FGFR4		0	0	0	0	0	0	0	0	0	0	0	0	1	4	yes	multiple reagents				cells with protrusions														
HT01_D14	M-005318-00	55681;730591;LOC729191;729191	SCYL2;LOC729191;LOC729191;LOC729191	"siRNA matched to more than one gene (55681;730591;LOC729191;729191,SCYL2;LOC729191;LOC729191;LOC729191)"	1	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT01_D20	M-007260-00	55312	RFK		1	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT01_F18	M-004624-00	124923	FLJ25006		0	0	0	0	0	0	0	0.99	0	0	0	0	0	12	yes	multiple reagents												actin fiber cells						
HT01_F19	M-006713-03	8527	DGKD		0	0	0	0	0	0	0	0.717	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_G18	M-004395-00	29775	CARD10		0	0	0.827	0	0	0	0	0	0	0	0	0	0	5	yes	multiple reagents					elongated cells													
HT01_G21	M-005426-01	154	ADRB2		0	0	0	0	1	0	0	0	0	0	0	0	0	3	yes	multiple reagents			large nuclei															
HT01_H19	M-025870-00	157285	PRAGMIN		0	0	0	0	1	0	0	0.909	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_H20	M-006691-00	2395	FXN		0.997	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT01_I10	M-007843-01	388372;728835;9560;6351	CCL4L2;LOC728835;CCL4L1;CCL4	"siRNA matched to more than one gene (388372;728835;9560;6351,CCL4L2;LOC728835;CCL4L1;CCL4)"	0	0	0	0	1	0	0	0	0.768	0	0	0	0	3	yes	multiple reagents			large nuclei															
HT01_I21	M-011426-01	8165	AKAP1		0	0	0	1	0	0.943	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_J11	M-004637-00	1760	DMPK		0	0	0	1	0	0	0	0	0	0	0	1	0	16	yes	multiple reagents																lamellipodia and high actin cells		
HT01_J14	M-006725-00	2585	GALK2		0	0	0	0	1	0	0	0	0	0	0	0	0	3	yes	multiple reagents			large nuclei															
HT01_J9	M-007882-01	1742	DLG4		0	0	0	0.513	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_K12	M-004075-01	9578	CDC42BPB		1	0	0	0	0	0	0	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT01_K15	M-013371-00	9465	AKAP7		0	1	0	0	0	0	-1	0	1	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_K22	M-003237-01	1018	CDK3		0	0	0	0	0	0	0	0.969	0	0	0	0	0	12	yes	multiple reagents												actin fiber cells						
HT01_L19	M-004806-01	9149	DYRK1B		0	0	0	1	0	0	0	0	0	0	0	0	0	10	yes	multiple reagents										high actin ratio cells								
HT01_L22	M-003009-01	2931	GSK3A		0	0	0.551	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_L7	M-003963-02	1846	DUSP4		0	0	0.502	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_M11	M-004685-01	65061	PFTK2		0	1	0	0	0	0	0	0	0	0	0	1	0		yes	multiple reagents																		other phenotype
HT01_M20	M-003242-02	1024	CDK8		0	0	0	1	0	0	0	1	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_M21	M-007687-01	10290	SPEG		1	0	0	0	0	0	0.542	0	0	0	0	0	0	17	yes	multiple reagents																	proliferating cells	
HT01_M22	M-003243-02	1025	CDK9		-0.581	0	0	0	0	0	0	0	0	0	1	0	0	7+11	yes	multiple reagents							SM phenotype (round cells and many in metaphase)				metaphase cells							
HT01_N10	M-005329-01	3000	GUCY2D		0	0	0	0	0	0	0	0	0	0	0.55	0	0		yes	multiple reagents																		other phenotype
HT01_O16	M-003244-03	1028	CDKN1C		0	0	0	0	0	0	0	0.751	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_O5	M-003563-02	369	ARAF		0	0.51	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT01_P18	M-004618-00	55351	STK32B		0	0	0	1	0	0	0	0	0	0	0	0	0	10	yes	multiple reagents										high actin ratio cells								
HT01_P23	M-003125-01	2051	EPHB6		0	0	0	1	0	0	0	0	0	0	0	0	0	10	yes	multiple reagents										high actin ratio cells								
HT02_A18	M-003586-01	11184	MAP4K1		-0.577	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_B16	M-008224-01	5570	PKIB		0	0	0	0	0	0	0.585	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_B20	M-006781-01	LOC652797;5315	LOC652797;PKM2	"siRNA matched to more than one gene (LOC652797;5315,LOC652797;PKM2)"	0	-0.683	0	0	-0.929	0	0	0	0	1	0	0	0		yes	multiple reagents																		other phenotype
HT02_B9	M-006821-01	4830;654364	NME1;NME1-NME2	"siRNA matched to more than one gene (4830;654364,NME1;NME1-NME2)"	0	0	0	0	0	0	0	0	0	0	0	0.615	0		yes	multiple reagents																		other phenotype
HT02_C18	M-003512-05	1432	MAPK14		0	0	0	1	0	0	0	0	0	0	0	0	0	10	yes	multiple reagents										high actin ratio cells								
HT02_C20	M-003592-02	5595	MAPK3		-0.53	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
HT02_C21	M-003144-02	3702	ITK		0	0.897	0	0	0	0	0	0	0	0	0	0	0	14	yes	multiple reagents														large cells				
HT02_D10	M-006782-00	10654	PMVK		-0.757	-0.64	-0.981	-0.761	0	0	1	0	0	0	1	0	0		yes	multiple reagents																		other phenotype
HT02_D20	M-008486-01	5531	PPP4C		-0.604	0	0.814	0	0	0	0	0	0	0	0	0	0	5	yes	multiple reagents					elongated cells													
HT02_D23	M-005357-00	57147	SCYL3		0	0	0.94	0	0	0	0	0	0	0	0	0	0.975	6	yes	multiple reagents						elongated cells with protrusions												
HT02_D6	M-003290-01	5347	PLK1		-0.945	0	-1	-0.999	0	1	1	0	0	0	0	0	0	7	yes	multiple reagents							SM phenotype (round cells and many in metaphase)											
HT02_E5	M-006742-01	3706	ITPKA		0	0	0	0	0	0	0	0	0	0	0	0.997	0	15	yes	multiple reagents															lamellipodia cells			
HT02_F14	M-009859-01	53632	PRKAG3		-0.512	0	0	0	0	0	0	0	0	0	0	0	0		yes	multiple reagents																		other phenotype
