Gene Symbol	Gene Identifier	U2OS phenotype	Qiagen reproducibility between HeLa and U2OS cells	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
MARCH7		"N,P"	X							normal cells	cells with protrusions and elongations	
AADACL1	57552	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
ABCB10	23456	"BC,Z,M"	X		big (large) cells				metaphase			telophase
ACRC	93953	"N,C,M"	X			condensed cells			metaphase	normal cells		
ADAMTS18	170692	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
ADIPOR2	79602	N	X							normal cells		
AFAP1	60312	"P,C"	X			condensed cells					cells with protrusions and elongations	
AGR2	10551	"P,BC"	X		big (large) cells						cells with protrusions and elongations	
AGXT2	64902	LA	X					lammellipodia				
AMTN	401138	"BC,C,M"	X		big (large) cells	condensed cells			metaphase			
ANAPC7		N	X							normal cells		
ANLN	54443	"BC,P,M"	X		big (large) cells				metaphase		cells with protrusions and elongations	
AP4E1	23431	"BC,LA"	X		big (large) cells			lammellipodia				
APBB1IP	54518	C	X			condensed cells						
ARCN1	372	C	X			condensed cells						
ARFGEF1	10565	P	X								cells with protrusions and elongations	
ARHGAP1	392	"N,C"	X			condensed cells				normal cells		
ARHGAP20	57569	N	X							normal cells		
ARHGEF4		BC			big (large) cells							
ARIH2	10425	N								normal cells		
ASF1B	55723	BC			big (large) cells							
ASNSD1	54529	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
ASPH	444	"N,BC"	X		big (large) cells					normal cells		
ATP1B3	483	LA	X					lammellipodia				
ATP5G2	517	"BC,AF"	X	actin fibre	big (large) cells							
ATP7A		"BC,AF"	X	actin fibre	big (large) cells							
B3GALNT1	8706	"P,M"	X						metaphase		cells with protrusions and elongations	
BCAR3		"P,C"	X			condensed cells					cells with protrusions and elongations	
BCKDHA	593	"C,AF,P"	X	actin fibre		condensed cells					cells with protrusions and elongations	
BCL2L1	598	"N,BC,P"	X		big (large) cells					normal cells	cells with protrusions and elongations	
BEX2		"BC,LA"	X		big (large) cells			lammellipodia				
BIN3	55909	N	X							normal cells		
BIRC5		"BC,AF"	X	actin fibre	big (large) cells							
BLR1	643	P	X								cells with protrusions and elongations	
BRCC3		"N,M"	X						metaphase	normal cells		
BRD9	65980	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
C10ORF116		"BC,AF,C"	X	actin fibre	big (large) cells	condensed cells						
C11ORF48	79081	"AF,P"	X	actin fibre							cells with protrusions and elongations	
C11ORF61	79684	"P,LA"	X					lammellipodia			cells with protrusions and elongations	
C12ORF24	29902	P	X								cells with protrusions and elongations	
C12ORF59	120939	"P,C,M"	X			condensed cells			metaphase		cells with protrusions and elongations	
C13ORF3	221150	"C,M"	X			condensed cells			metaphase			
C15ORF42	90381	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
C16ORF68	79091	"BC,AF"	X	actin fibre	big (large) cells							
C1ORF177	163747	C	X			condensed cells						
C1QA	712	"BC,LA"	X		big (large) cells			lammellipodia				
C20ORF20	55257	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
C20ORF4	25980	"C,M"	X			condensed cells			metaphase			
C2ORF60	129450	"BC,C"	X		big (large) cells	condensed cells						
C4ORF18	51313	"AF,C"	X	actin fibre		condensed cells						
C6ORF142	90523	C	X			condensed cells						
C6ORF182	285753	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
C6ORF204	387119	"BC,P"	X		big (large) cells						cells with protrusions and elongations	
C6ORF64	55776	P	X								cells with protrusions and elongations	
C9ORF90	203245	"BC,C"	X		big (large) cells	condensed cells						
CA14	23632	LA	X					lammellipodia				
CABLES1	91768	"BC,AF"	X	actin fibre	big (large) cells							
CACNA1A		M							metaphase			
CACNA1F		"BC,P"	X		big (large) cells						cells with protrusions and elongations	
CADM1	23705	"BC,AF"	X	actin fibre	big (large) cells							
CAPRIN1	4076	"BC,AF"	X	actin fibre	big (large) cells							
CARS	833	"N,BC"	X		big (large) cells					normal cells		
CASP8AP2	9994	"BC,P,AF"	X	actin fibre	big (large) cells						cells with protrusions and elongations	
CBLC	23624	C				condensed cells						
CCBE1	147372	P	X								cells with protrusions and elongations	
CCDC114	93233	AF	X	actin fibre								
CCDC132	55610	"BC,P,C"	X		big (large) cells	condensed cells					cells with protrusions and elongations	
CCDC142	84865	BC	X		big (large) cells							
CCDC98	84142	"BC,AF"	X	actin fibre	big (large) cells							
CD33	945	"P,M"	X						metaphase		cells with protrusions and elongations	
CD3EAP	10849	"BC,P,AF,M"	X	actin fibre	big (large) cells				metaphase		cells with protrusions and elongations	
CDC37L1	55664	LA	X					lammellipodia				
CDC42		"P,C,D"	X			condensed cells	debris				cells with protrusions and elongations	
CDC6	990	BC	X		big (large) cells							
CDCA5	113130	"M,BC"	X		big (large) cells				metaphase			
CDCA8	55143	"BC,P,M"	X		big (large) cells				metaphase		cells with protrusions and elongations	
CDH10	1008	AF	X	actin fibre								
CDKL1	8814	"LA,BC,P"	X		big (large) cells			lammellipodia			cells with protrusions and elongations	
CDKN2A	1029	"C,M"	X			condensed cells			metaphase			
CEBPD	1052	"BC,LA"	X		big (large) cells			lammellipodia				
CECR6	27439	"BC,C"	X		big (large) cells	condensed cells						
CENPE	1062	"BC,M"	X		big (large) cells				metaphase			
CENPH	64946	C				condensed cells						
CENPI		"BC,M,P"	X		big (large) cells				metaphase		cells with protrusions and elongations	
CEP164	22897	P									cells with protrusions and elongations	
CEP192	55125	"BC,M"	X		big (large) cells				metaphase			
CFL1	1072	N	X							normal cells		
CGRRF1	10668	"P,C,M"	X			condensed cells			metaphase		cells with protrusions and elongations	
CHD4	1108	P									cells with protrusions and elongations	
