Plate	Well Number	Well	Plate_Well	Quality Control	siRNA Identifier	Gene Identifier	Gene Symbol	Gene Annotation Comments	Control Type	Score - nuclei stay close together (manual)	Score - strange nuclear shape (manual)	Score - segregation problems/chromatin bridges/lagging chromosomes/multiple DNA masses (manual)	Score - cell migration (manual)	Score - metaphase delay/arrest (manual)	Score - cell death (manual)	Score - metaphase alignment problems/including no metaphase (manual)	Score - pulsating nuclei (manual)	Score - small nucleus (manual)	Score - prometaphase delay/arrest (manual)	Score - condensation without mitosis/collapse of nucleus (manual)	Score - large nucleus (manual)	Score - failure in decondensation (manual)	Score - condensation followed by decondensation without completion of mitosis (manual)	Score - reduced mitotic index (manual)	Score - other (manual)	Score - no phenotype (manual)	Score - cell death (automatic)	Score - binuclear (automatic)	Score - polylobed (automatic)	Score - large (automatic)	Score - dynamic changes (automatic)	Score - mitotic delay/arrest (automatic)	Score - grape (automatic)	Score - migration (speed) (automatic)	Score - migration (distance) (automatic)	Score - increased proliferation (automatic)	siRNA phenotype reproducibility - nuclei stay close together (manual)	siRNA phenotype reproducibility - strange nuclear shape (manual)	siRNA phenotype reproducibility - segregation problems/chromatin bridges/lagging chromosomes/multiple DNA masses (manual)	siRNA phenotype reproducibility - cell migration (manual)	siRNA phenotype reproducibility - metaphase delay/arrest (manual)	siRNA phenotype reproducibility - cell death (manual)	siRNA phenotype reproducibility - metaphase alignment problems/including no metaphase (manual)	siRNA phenotype reproducibility - pulsating nuclei (manual)	siRNA phenotype reproducibility - small nucleus (manual)	siRNA phenotype reproducibility - prometaphase delay/arrest (manual)	siRNA phenotype reproducibility - condensation followed by decondensation without completion of mitosis (manual)	siRNA phenotype reproducibility - large nucleus (manual)	siRNA phenotype reproducibility - failure in decondensation (manual)	siRNA phenotype reproducibility - condensation without mitosis/collapse of nucleus (manual)	siRNA phenotype reproducibility - cell death (automatic)	siRNA phenotype reproducibility - binuclear (automatic)	siRNA phenotype reproducibility - polylobed (automatic)	siRNA phenotype reproducibility - large (automatic)	siRNA phenotype reproducibility - dynamic changes (automatic)	siRNA phenotype reproducibility - mitotic delay/arrest (automatic)	siRNA phenotype reproducibility - grape (automatic)	siRNA phenotype reproducibility - migration (speed) (automatic)	siRNA phenotype reproducibility - migration (distance) (automatic)	siRNA phenotype reproducibility - increased proliferation (automatic)	Potential Mitotic Hit At Gene Level	Validated Mitotic Hit At Gene Level	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
LTValidMitosisSon384Plate01_01	1	A1	LTValidMitosisSon384Plate01_01_A1	TRUE	s7424	ENSG00000149503	INCENP		positive control																		0.063442	0.072648	0.507145	0.009021	0.022207	0.07075	0.18786	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	2	A2	LTValidMitosisSon384Plate01_01_A2	TRUE	s27759	ENSG00000159596	TMEM69																				-0.003154	0.017371	-0.003526	0.054172	-0.003417	0.002115	0.003467	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	3	A3	LTValidMitosisSon384Plate01_01_A3	TRUE	s41636	ENSG00000164484	KIAA1913																				-0.000923	0.011772	-0.011686	0.035762	-0.003637	-0.000294	0.000004	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	4	A4	LTValidMitosisSon384Plate01_01_A4	TRUE					empty well																		0.024709	-0.004892	0.03249	0.126637	0.009978	0.019451	-0.000347	NA	NA	NA																																					
LTValidMitosisSon384Plate01_01	5	A5	LTValidMitosisSon384Plate01_01_A5	TRUE	s43833	ENSG00000164237	CMBL							x		x											0.024812	0.006256	0.01775	0.049621	-0.004096	0.017336	0.00017	NA	NA	NA	0	0	0	0	3/4	0	2/4	0	0	0	0	0	0	0	0	0	0	0	0	1/4	0	0	0	0	yes	yes	yes	multiple replicates of reagent				metaphase delay/arrest (manual)					
LTValidMitosisSon384Plate01_01	6	A6	LTValidMitosisSon384Plate01_01_A6	TRUE	s19740	ENSG00000141232	TOB1																				0.001853	-0.006764	0.027078	0.030395	-0.004969	0.004723	0.003088	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes												
LTValidMitosisSon384Plate01_01	7	A7	LTValidMitosisSon384Plate01_01_A7	TRUE					empty well																		-0.008376	0.039192	0.106848	0.061292	0.008146	0.014223	0.0031	NA	NA	NA																																					
LTValidMitosisSon384Plate01_01	8	A8	LTValidMitosisSon384Plate01_01_A8	TRUE	s39236	ENSG00000141200	KIF2B																				0.031701	0.038643	0.111618	0.052143	0.004178	0.010353	-0.000044	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/4	0	0	0	0	0	0	0	yes	yes											
LTValidMitosisSon384Plate01_01	9	A9	LTValidMitosisSon384Plate01_01_A9	TRUE					empty well																		-0.003501	-0.00325	-0.000063	0.035514	-0.005603	0.005152	0.000141	NA	NA	NA																																					
LTValidMitosisSon384Plate01_01	10	A10	LTValidMitosisSon384Plate01_01_A10	TRUE	s8707	ENSG00000140259	MFAP1																				0.000396	0.004843	0.012237	0.017761	0.002235	0.008211	0.008935	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	yes	yes											
