Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-A02006392-001-06-5	BRD-A02006392	NITRENDIPINE	Biomol International Inc.	yes			GO:0004972 (affects N-methyl-D-aspartate selective glutamate receptor activity);GO:0005245 (inhibits voltage-gated calcium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8092 (vasodilator)	yes	cellular response to chemical stimulus	
BRD-A02367930-001-02-9	BRD-A02367930	ETHINYL ESTRADIOL	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)	yes	cellular response to chemical stimulus	
BRD-A06352418-001-03-6	BRD-A06352418	Terfenadine	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine);UseClass:8088 (bronchodilator)	yes	cellular response to chemical stimulus	
BRD-A06912736-001-02-4	BRD-A06912736	LAPACHOL	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D009181 (Mycoses);MeSH:D009369 (Neoplasms)	UseClass:8104 (anti-bacterial);UseClass:8102 (anti-coagulant);UseClass:8105 (anti-fungal);UseClass:8066 (anti-neoplastic)	yes	cellular response to chemical stimulus	
BRD-A10335634-001-02-5	BRD-A10335634	LYCORINE	MicroSource Discovery Systems Inc.	yes		GeneID:1576 (inhibits CYP3A4)	GO:0006915 (activates apoptosis);GO:0071850 (activates mitotic cell cycle arrest);GO:0006412 (inhibits translation)			yes	cellular response to chemical stimulus	
BRD-A10471441-050-02-8	BRD-A10471441	PROPIOMAZINE MALEATE	MicroSource Discovery Systems Inc.	yes					UseClass:8115 (hypnotic);UseClass:8116 (sedative)	yes	cellular response to chemical stimulus	
BRD-A26334849-001-02-1	BRD-A26334849	PROPAFENONE	Biomol International Inc.	yes			GO:0005267 (inhibits potassium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)	yes	cellular response to chemical stimulus	
BRD-A26334849-003-05-0	BRD-A26334849	Propafenone hydrochloride	Prestwick Chemical Inc.	yes			GO:0005267 (inhibits potassium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)	yes	cellular response to chemical stimulus	
BRD-A29289453-001-02-1	BRD-A29289453	PCA 4248	Biomol International Inc.	yes			GO:0004992 (inhibits platelet activating factor receptor activity)			yes	cellular response to chemical stimulus	
BRD-A31385885-001-02-1	BRD-A31385885	NERIIFOLIN	MicroSource Discovery Systems Inc.	yes					UseClass:8100 (cardiac stimulant)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A33749298-001-05-0	BRD-A33749298	Oxyphenbutazone	Prestwick Chemical Inc.	yes			GO:0004955 (inhibits prostaglandin receptor activity)	MeSH:D007249 (Inflammation);MeSH:D012216 (Rheumatic Diseases)	UseClass:8071 (anti-inflammatory)	yes	cellular response to chemical stimulus	
BRD-A35588707-001-02-2	BRD-A35588707	TENIPOSIDE	MicroSource Discovery Systems Inc.	yes			GO:0006915 (activates apoptosis);GO:0003918 (inhibits DNA topoisomerase (ATP-hydrolyzing) activity);GO:0030168 (inhibits platelet activation);GO:0007283 (inhibits spermatogenesis)	"MeSH:D001254 (Astrocytoma);""MeSH:D002289 (Carcinoma, Non-Small-Cell Lung)"";""MeSH:D018288 (Carcinoma, Small Cell)"";""MeSH:D008228 (Lymphoma, Non-Hodgkin)"";MeSH:D009182 (Mycosis Fungoides);MeSH:D009837 (Oligodendroglioma)"	UseClass:8066 (anti-neoplastic)	yes	cellular response to chemical stimulus	decreased cell numbers
