PLATE	ERSyto	ERSytoBleed	Hoechst	Mito	Ph_golgi
26579	2032	2032	2032	2032	2032
26578	1704	1704	1704	1704	1704
26575	542	542	542	542	542
26574	550	550	550	550	550
26577	1404	1404	1404	1404	1404
26576	654	654	654	654	654
26572	350	350	350	350	350
24653	2304	2304	2304	2304	2304
24507	2304	2304	2304	2304	2304
25856	2304	2304	2304	2304	2304
26678	2304	2304	2304	2304	2304
25854	2304	2304	2304	2304	2304
25690	2304	2304	2304	2304	2304
25692	2304	2304	2304	2304	2304
24304	2304	2304	2304	2304	2304
25694	2304	2304	2304	2304	2304
24307	2304	2304	2304	2304	2304
25664	2304	2304	2304	2304	2304
25665	2304	2304	2304	2304	2304
25667	2304	2304	2304	2304	2304
25663	2304	2304	2304	2304	2304
25742	2304	2304	2304	2304	2304
25741	2304	2304	2304	2304	2304
25740	2304	2304	2304	2304	2304
26677	2304	2304	2304	2304	2304
25885	2304	2304	2304	2304	2304
26688	2304	2304	2304	2304	2304
26724	2304	2304	2304	2304	2304
25859	2304	2304	2304	2304	2304
26683	2304	2304	2304	2304	2304
26682	2304	2304	2304	2304	2304
26681	2304	2304	2304	2304	2304
25991	2304	2304	2304	2304	2304
24278	2304	2304	2304	2304	2304
24279	2304	2304	2304	2304	2304
26685	2304	2304	2304	2304	2304
26684	2304	2304	2304	2304	2304
26092	2304	2304	2304	2304	2304
26159	2304	2304	2304	2304	2304
25592	2304	2304	2304	2304	2304
25593	2304	2304	2304	2304	2304
25590	2304	2304	2304	2304	2304
25591	2304	2304	2304	2304	2304
25594	2304	2304	2304	2304	2304
25598	2304	2304	2304	2304	2304
25599	2304	2304	2304	2304	2304
26753	2304	2304	2304	2304	2304
26752	2304	2304	2304	2304	2304
26611	2304	2304	2304	2304	2304
26612	2304	2304	2304	2304	2304
26531	2275	2275	2275	2275	2275
24756	2304	2304	2304	2304	2304
24755	2304	2304	2304	2304	2304
24563	2304	2304	2304	2304	2304
24753	2304	2304	2304	2304	2304
24752	2304	2304	2304	2304	2304
24751	2304	2304	2304	2304	2304
24750	2304	2304	2304	2304	2304
25435	2304	2304	2304	2304	2304
24759	2304	2304	2304	2304	2304
25434	2304	2304	2304	2304	2304
24595	2304	2304	2304	2304	2304
24594	2304	2304	2304	2304	2304
24596	2304	2304	2304	2304	2304
24590	2304	2304	2304	2304	2304
25903	2304	2304	2304	2304	2304
24592	2304	2304	2304	2304	2304
25909	2304	2304	2304	2304	2304
25908	2304	2304	2304	2304	2304
25855	2304	2304	2304	2304	2304
24623	1448	1448	1448	1448	1448
26675	2304	2304	2304	2304	2304
24625	2304	2304	2304	2304	2304
24624	2304	2304	2304	2304	2304
25403	2304	2304	2304	2304	2304
25406	2304	2304	2304	2304	2304
25408	2304	2304	2304	2304	2304
25391	2304	2304	2304	2304	2304
25392	2304	2304	2304	2304	2304
26216	2304	2304	2304	2304	2304
25492	2304	2304	2304	2304	2304
25490	2304	2304	2304	2304	2304
25578	2304	2304	2304	2304	2304
25579	2304	2304	2304	2304	2304
25575	2304	2304	2304	2304	2304
25576	2304	2304	2304	2304	2304
25570	2304	2304	2304	2304	2304
25994	2304	2304	2304	2304	2304
25572	2304	2304	2304	2304	2304
25573	2304	2304	2304	2304	2304
26061	2304	2304	2304	2304	2304
26060	2304	2304	2304	2304	2304
25997	2304	2304	2304	2304	2304
26107	2304	2304	2304	2304	2304
26625	2304	2304	2304	2304	2304
26626	2266	2266	2266	2266	2266
26623	2304	2304	2304	2304	2304
26622	2304	2304	2304	2304	2304
24793	2304	2304	2304	2304	2304
24792	2304	2304	2304	2304	2304
24797	2304	2304	2304	2304	2304
24796	2304	2304	2304	2304	2304
24795	2304	2304	2304	2304	2304
25949	2304	2304	2304	2304	2304
25943	2304	2304	2304	2304	2304
25945	2304	2304	2304	2304	2304
25944	2304	2304	2304	2304	2304
25990	2304	2304	2304	2304	2304
24664	2304	2304	2304	2304	2304
26569	100	100	100	100	100
26564	450	450	450	450	450
26562	2304	2304	2304	2304	2304
26563	2304	2304	2304	2304	2304
25725	2304	2304	2304	2304	2304
25724	2304	2304	2304	2304	2304
25726	2304	2304	2304	2304	2304
25723	4255	4255	4255	4255	4255
25688	2304	2304	2304	2304	2304
25689	2304	2304	2304	2304	2304
25683	2304	2304	2304	2304	2304
25680	2304	2304	2304	2304	2304
25681	2304	2304	2304	2304	2304
25686	2304	2304	2304	2304	2304
26695	2304	2304	2304	2304	2304
25438	2304	2304	2304	2304	2304
24560	2304	2304	2304	2304	2304
25430	2304	2304	2304	2304	2304
24562	2304	2304	2304	2304	2304
25432	2303	2303	2303	2303	2303
24564	2304	2304	2304	2304	2304
24565	2304	2304	2304	2304	2304
24566	2304	2304	2304	2304	2304
25436	2304	2304	2304	2304	2304
26140	2304	2304	2304	2304	2304
26224	2304	2304	2304	2304	2304
25986	2304	2304	2304	2304	2304
25983	2304	2304	2304	2304	2304
26666	2304	2304	2304	2304	2304
26669	2304	2304	2304	2304	2304
26668	2304	2304	2304	2304	2304
26744	2304	2304	2304	2304	2304
26745	2304	2304	2304	2304	2304
25989	2304	2304	2304	2304	2304
25988	2304	2304	2304	2304	2304
25985	2304	2304	2304	2304	2304
25984	2304	2304	2304	2304	2304
25987	2304	2304	2304	2304	2304
26662	2304	2304	2304	2304	2304
26664	2304	2304	2304	2304	2304
26748	2304	2304	2304	2304	2304
24512	2304	2304	2304	2304	2304
26135	2304	2304	2304	2304	2304
26133	2304	2304	2304	2304	2304
25862	2304	2304	2304	2304	2304
26138	2304	2304	2304	2304	2304
26663	2304	2304	2304	2304	2304
25695	2304	2304	2304	2304	2304
26521	2239	2239	2239	2239	2239
24740	2304	2304	2304	2304	2304
24297	2304	2304	2304	2304	2304
24586	2304	2304	2304	2304	2304
25914	2304	2304	2304	2304	2304
25915	2304	2304	2304	2304	2304
25912	2304	2304	2304	2304	2304
24583	2304	2304	2304	2304	2304
25911	2304	2304	2304	2304	2304
25918	2304	2304	2304	2304	2304
25642	2304	2304	2304	2304	2304
25643	2304	2304	2304	2304	2304
25641	2304	2304	2304	2304	2304
26596	2191	2191	2191	2191	2191
26595	2296	2296	2296	2296	2296
26680	2304	2304	2304	2304	2304
26592	2254	2254	2254	2254	2254
26598	2213	2213	2213	2213	2213
24735	2304	2304	2304	2304	2304
24734	2304	2304	2304	2304	2304
24736	2304	2304	2304	2304	2304
24731	2304	2304	2304	2304	2304
24733	2304	2304	2304	2304	2304
24732	2304	2304	2304	2304	2304
24634	2304	2304	2304	2304	2304
24739	2304	2304	2304	2304	2304
24631	2304	2304	2304	2304	2304
24633	2304	2304	2304	2304	2304
26791	2304	2304	2304	2304	2304
26792	2304	2304	2304	2304	2304
26795	2304	2304	2304	2304	2304
26794	2304	2304	2304	2304	2304
26796	2304	2304	2304	2304	2304
26181	2304	2304	2304	2304	2304
25488	2304	2304	2304	2304	2304
25485	2304	2304	2304	2304	2304
25503	2304	2304	2304	2304	2304
26071	2304	2304	2304	2304	2304
26702	2304	2304	2304	2304	2304
26703	2304	2304	2304	2304	2304
26705	2304	2304	2304	2304	2304
25571	2304	2304	2304	2304	2304
26271	2304	2304	2304	2304	2304
26174	2304	2304	2304	2304	2304
24785	2304	2304	2304	2304	2304
24783	2304	2304	2304	2304	2304
24789	2304	2304	2304	2304	2304
26007	2304	2304	2304	2304	2304
26006	2304	2304	2304	2304	2304
26002	2304	2304	2304	2304	2304
26009	2304	2304	2304	2304	2304
26008	2304	2304	2304	2304	2304
25955	2304	2304	2304	2304	2304
25378	2304	2304	2304	2304	2304
24584	2304	2304	2304	2304	2304
24585	2304	2304	2304	2304	2304
24773	2304	2304	2304	2304	2304
24772	2304	2304	2304	2304	2304
24775	2304	2304	2304	2304	2304
24774	2304	2304	2304	2304	2304
25913	2304	2304	2304	2304	2304
25738	2304	2304	2304	2304	2304
25739	2304	2304	2304	2304	2304
25732	473	473	473	473	473
24605	2304	2304	2304	2304	2304
24604	2304	2304	2304	2304	2304
24588	2304	2304	2304	2304	2304
25605	2304	2304	2304	2304	2304
24609	2304	2304	2304	2304	2304
25428	2304	2304	2304	2304	2304
25422	2304	2304	2304	2304	2304
25420	2304	2304	2304	2304	2304
25426	2304	2304	2304	2304	2304
25424	2304	2304	2304	2304	2304
24352	2304	2304	2304	2304	2304
26239	2304	2304	2304	2304	2304
26232	2304	2304	2304	2304	2304
25553	2304	2304	2304	2304	2304
25857	2304	2304	2304	2304	2304
26772	2304	2304	2304	2304	2304
26771	2304	2304	2304	2304	2304
26679	2304	2304	2304	2304	2304
25853	2304	2304	2304	2304	2304
25852	2304	2304	2304	2304	2304
26672	2304	2304	2304	2304	2304
26673	2304	2304	2304	2304	2304
26670	2304	2304	2304	2304	2304
26671	2304	2304	2304	2304	2304
25992	2304	2304	2304	2304	2304
25993	2304	2304	2304	2304	2304
26674	2304	2304	2304	2304	2304
25858	2304	2304	2304	2304	2304
26126	2304	2304	2304	2304	2304
26124	2304	2304	2304	2304	2304
25567	2304	2304	2304	2304	2304
26128	2304	2304	2304	2304	2304
26642	2304	2304	2304	2304	2304
25565	2304	2304	2304	2304	2304
25564	2304	2304	2304	2304	2304
25923	2304	2304	2304	2304	2304
25638	2304	2304	2304	2304	2304
25925	2304	2304	2304	2304	2304
25929	2304	2304	2304	2304	2304
25679	2304	2304	2304	2304	2304
25678	2304	2304	2304	2304	2304
24602	2304	2304	2304	2304	2304
25677	2304	2304	2304	2304	2304
25676	2304	2304	2304	2304	2304
25675	2304	2304	2304	2304	2304
25674	2304	2304	2304	2304	2304
26580	2254	2254	2254	2254	2254
26588	2304	2304	2304	2304	2304
24726	2304	2304	2304	2304	2304
26765	2304	2304	2304	2304	2304
24641	2304	2304	2304	2304	2304
24642	2304	2304	2304	2304	2304
26782	2304	2304	2304	2304	2304
26783	2304	2304	2304	2304	2304
26786	2304	2304	2304	2304	2304
26784	2304	2304	2304	2304	2304
26785	2304	2304	2304	2304	2304
24319	2304	2304	2304	2304	2304
25376	2304	2304	2304	2304	2304
25374	2304	2304	2304	2304	2304
25372	2304	2304	2304	2304	2304
26730	2304	2304	2304	2304	2304
