Compound Broad Identifier	Compound Broad Identifier Short	Compound Broad Identifier_Compound Group	Compound Name	Compound Source	PubChem InChIKey	ChEMBL Identifier	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-A00827783-001-05-5	BRD-A00827783	BRD-A00827783-001-05-5_BBBC022	Diprophylline	Prestwick Chemical Inc.	KSCFJBIXMNOVSH-UHFFFAOYSA-N	CHEMBL1752	yes	CBPROTID:1000543 (inhibits cAMP-phosphodiesterase)			MeSH:D001982 (Bronchial Diseases)	UseClass:8088 (bronchodilator)			
BRD-A00993607-003-05-5	BRD-A00993607	BRD-A00993607-003-05-5_BBBC022	Alprenolol hydrochloride	Prestwick Chemical Inc.	PAZJSJFMUHDSTF-UHFFFAOYSA-N	CHEMBL266195	yes			GO:0004939 (inhibits beta-adrenergic receptor activity)					
BRD-A01078468-001-05-6	BRD-A01078468	BRD-A01078468-001-05-6_BBBC022	Hexestrol	Prestwick Chemical Inc.	PBBGSZCBWVPOOL-UHFFFAOYSA-N	CHEMBL6615	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic);UseClass:8141 (hormonal agent)			
BRD-A01636364-003-05-2	BRD-A01636364	BRD-A01636364-003-05-2_BBBC022	Bupivacaine hydrochloride	Prestwick Chemical Inc.	LEBVLXFERQHONN-UHFFFAOYSA-N	CHEMBL1098	yes					UseClass:8082 (anesthetic)			
BRD-A01643550-001-02-3	BRD-A01643550	BRD-A01643550-001-02-3_BBBC022	PREDNISOLONE ACETATE	MicroSource Discovery Systems Inc.	LRJOMUJRLNCICJ-AUGMLKDDSA-N		yes				MeSH:D006967 (Hypersensitivity);MeSH:D007249 (Inflammation)	UseClass:8077 (anti-allergy);UseClass:8071 (anti-inflammatory)			
BRD-A02006392-001-06-5	BRD-A02006392	BRD-A02006392-001-06-5_BBBC022	NITRENDIPINE	Biomol International Inc.	PVHUJELLJLJGLN-UHFFFAOYSA-N	CHEMBL475534	yes			GO:0004972 (affects N-methyl-D-aspartate selective glutamate receptor activity);GO:0005245 (inhibits voltage-gated calcium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8092 (vasodilator)	yes	cellular response to chemical stimulus	
BRD-A02367930-001-02-9	BRD-A02367930	BRD-A02367930-001-02-9_BBBC022	ETHINYL ESTRADIOL	MicroSource Discovery Systems Inc.	BFPYWIDHMRZLRN-OQPPHWFISA-N		yes					UseClass:8141 (hormonal agent)	yes	cellular response to chemical stimulus	
BRD-A03932035-004-02-7	BRD-A03932035	BRD-A03932035-004-02-7_BBBC022	METHSCOPOLAMINE BROMIDE	MicroSource Discovery Systems Inc.	LZCOQTDXKCNBEE-RUTJIGONSA-N		yes					UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-A04553218-050-03-0	BRD-A04553218	BRD-A04553218-050-03-0_BBBC022	Chlorpheniramine maleate	Prestwick Chemical Inc.	SOYKEARSMXGVTM-UHFFFAOYSA-N	CHEMBL505	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-A05457250-001-03-5	BRD-A05457250	BRD-A05457250-001-03-5_BBBC022	BAY K-8644	Biomol International Inc.	ZFLWDHHVRRZMEI-UHFFFAOYSA-N	CHEMBL1082832	yes			GO:0005262 (activates calcium channel activity)		UseClass:8094 (vasoconstrictor)			
BRD-A06352418-001-03-6	BRD-A06352418	BRD-A06352418-001-03-6_BBBC022	Terfenadine	Prestwick Chemical Inc.	GUGOEEXESWIERI-UHFFFAOYSA-N	CHEMBL17157	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine);UseClass:8088 (bronchodilator)	yes	cellular response to chemical stimulus	
BRD-A06912736-001-02-4	BRD-A06912736	BRD-A06912736-001-02-4_BBBC022	LAPACHOL	MicroSource Discovery Systems Inc.	KBTHDLHMTHCIHG-UHFFFAOYSA-N		yes				MeSH:D001424 (Bacterial Infections);MeSH:D009181 (Mycoses);MeSH:D009369 (Neoplasms)	UseClass:8104 (anti-bacterial);UseClass:8102 (anti-coagulant);UseClass:8105 (anti-fungal);UseClass:8066 (anti-neoplastic)	yes	cellular response to chemical stimulus	
BRD-A06935312-001-02-7	BRD-A06935312	BRD-A06935312-001-02-7_BBBC022	FUSIDIC ACID	MicroSource Discovery Systems Inc.	IECPWNUMDGFDKC-FRVBXGIOSA-N		yes				MeSH:D016908 (Gram-Positive Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8106 (anti-viral)			
BRD-A07000685-001-02-8	BRD-A07000685	BRD-A07000685-001-02-8_BBBC022	HYDROCORTISONE HEMISUCCINATE	MicroSource Discovery Systems Inc.	VWQWXZAWFPZJDA-PILPDLGISA-N	CHEMBL343545	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-A07207424-001-04-1	BRD-A07207424	BRD-A07207424-001-04-1_BBBC022	Ro 20-1724	Biomol International Inc.	PDMUULPVBYQBBK-UHFFFAOYSA-N	CHEMBL18701	yes			"GO:0004115 (inhibits 3',5'-cyclic-AMP phosphodiesterase activity)"					
BRD-A07440155-003-05-6	BRD-A07440155	BRD-A07440155-003-05-6_BBBC022	Labetalol hydrochloride	Prestwick Chemical Inc.	SGUAFYQXFOLMHL-UHFFFAOYSA-N	CHEMBL429	yes			GO:0004936 (inhibits alpha-adrenergic receptor activity);GO:0004939 (inhibits beta-adrenergic receptor activity)	MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)			
BRD-A07932845-001-01-1	BRD-A07932845	BRD-A07932845-001-01-1_BBBC022	METHIOTHEPIN	Biomol International Inc.	RLJFTICUTYVZDG-UHFFFAOYSA-N	CHEMBL93240	yes	CBPROTID:1000384 (inhibits 5-hydroxytryptamine 1 receptor)							
BRD-A07932845-050-05-9	BRD-A07932845	BRD-A07932845-050-05-9_BBBC022	Methiothepin maleate	Prestwick Chemical Inc.	RLJFTICUTYVZDG-UHFFFAOYSA-N	CHEMBL93240	yes	CBPROTID:1000384 (inhibits 5-hydroxytryptamine 1 receptor)							
BRD-A09467419-003-04-2	BRD-A09467419	BRD-A09467419-003-04-2_BBBC022	Mebeverine hydrochloride	Prestwick Chemical Inc.	VYVKHNNGDFVQGA-UHFFFAOYSA-N	CHEMBL282121	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8133 (smooth muscle relaxant)			
BRD-A09472452-001-02-8	BRD-A09472452	BRD-A09472452-001-02-8_BBBC022	FLECAINIDE	Biomol International Inc.	DJBNUMBKLMJRSA-UHFFFAOYSA-N	CHEMBL652	yes			GO:0005272 (inhibits sodium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A09472452-015-03-6	BRD-A09472452	BRD-A09472452-015-03-6_BBBC022	Flecainide acetate	Prestwick Chemical Inc.	DJBNUMBKLMJRSA-UHFFFAOYSA-N	CHEMBL652	yes			GO:0005272 (inhibits sodium channel activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)			
BRD-A09533288-001-02-7	BRD-A09533288	BRD-A09533288-001-02-7_BBBC022	VERAPAMIL	Biomol International Inc.	SGTNSNPWRIOYBX-UHFFFAOYSA-N	CHEMBL6966	yes	CBPROTID:1000216 (inhibits Voltage-dependent L-type calcium channel)	GeneID:8913 (inhibits CACNA1G)	GO:0006816 (inhibits calcium ion transport);GO:0008332 (inhibits low voltage-gated calcium channel activity)	"MeSH:D000787 (Angina Pectoris);MeSH:D006973 (Hypertension);""MeSH:D017180 (Tachycardia, Ventricular)"""	UseClass:8090 (anti-arrhythmic);UseClass:8091 (anti-hypertensive);UseClass:8092 (vasodilator)			
BRD-A09533288-003-05-6	BRD-A09533288	BRD-A09533288-003-05-6_BBBC022	Verapamyl hydrochloride	Prestwick Chemical Inc.	SGTNSNPWRIOYBX-UHFFFAOYSA-N	CHEMBL6966	yes	CBPROTID:1000216 (inhibits Voltage-dependent L-type calcium channel)	GeneID:8913 (inhibits CACNA1G)	GO:0006816 (inhibits calcium ion transport);GO:0008332 (inhibits low voltage-gated calcium channel activity)	"MeSH:D000787 (Angina Pectoris);MeSH:D006973 (Hypertension);""MeSH:D017180 (Tachycardia, Ventricular)"""	UseClass:8090 (anti-arrhythmic);UseClass:8091 (anti-hypertensive);UseClass:8092 (vasodilator)			
