Source Name	Characteristics [Organism]	Term Source REF	Term Source Accession	Characteristics[Organism Part]	Term Source REF	Term Source Accession	Characteristics[Sex]	Term Source REF	Term Source Accession	Characteristics[Individual]	Characteristics[Genotype]	Comment[Gene Identifier]	Comment[Gene Symbol]	Comment[Human Ortholog]	Comment[Human Ortholog Gene Symbol]	Protocol REF	Protocol REF	Assay Name	Factor Value[Organism Part]	Factor Value[Sex]	Factor Value[Individual]	Factor Value[Genotype]	DataSet Name	Image File	Channels	Comment [Image File Type]	Comment[Image File Path]	Protocol REF	Processed Data File
Bazla-14-100-reproductive-female	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	female	PATO	PATO_0000383	Bazla-14-100	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-100-reproductive-female	reproductive system	female	Bazla-14-100	Baz1a knockout	Bazla-14-100-reproductive-female	Bazla-14_100-reprof-a116.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-100-reproductive-female	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	female	PATO	PATO_0000383	Bazla-14-100	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-100-reproductive-female	reproductive system	female	Bazla-14-100	Baz1a knockout	Bazla-14-100-reproductive-female	Bazla-14_100-reprof-a117.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-100-reproductive-female	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	female	PATO	PATO_0000383	Bazla-14-100	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-100-reproductive-female	reproductive system	female	Bazla-14-100	Baz1a knockout	Bazla-14-100-reproductive-female	Bazla-14_100-reprof-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-100-reproductive-female	Mus musculus	NCBITaxon	NCBITaxon_10090	reproductive system	UBERON	UBERON_0000990	female	PATO	PATO_0000383	Bazla-14-100	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-100-reproductive-female	reproductive system	female	Bazla-14-100	Baz1a knockout	Bazla-14-100-reproductive-female	Bazla-14_100-reprof-overview2.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-eye	Mus musculus	NCBITaxon	NCBITaxon_10090	eye	UBERON	UBERON_0000970	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-eye	eye	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-eye	Bazla-14_75-eye-a105.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-eye	Mus musculus	NCBITaxon	NCBITaxon_10090	eye	UBERON	UBERON_0000970	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-eye	eye	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-eye	Bazla-14_75-eye-overview.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-gastrointestinal	Mus musculus	NCBITaxon	NCBITaxon_10090	gastrointestinal system	UBERON	UBERON_0005409	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-gastrointestinal	gastrointestinal system	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-gastrointestinal	Bazla-14_75-gi-a106.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-gastrointestinal	Mus musculus	NCBITaxon	NCBITaxon_10090	gastrointestinal system	UBERON	UBERON_0005409	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-gastrointestinal	gastrointestinal system	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-gastrointestinal	Bazla-14_75-gi-overview+.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-heart	heart	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-heart	Bazla-14_75-heart-a107.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
Bazla-14-75-heart	Mus musculus	NCBITaxon	NCBITaxon_10090	heart	UBERON	UBERON_0000948	male	PATO	PATO_0000384	Bazla-14-75	Baz1a knockout	ENSMUSG00000035021	Baz1a	ENSG00000198604	BAZ1A	growth protocol	image aquistion and feature extraction protocol	Bazla-14-75-heart	heart	male	Bazla-14-75	Baz1a knockout	Bazla-14-75-heart	Bazla-14_75-heart-a108.tif	RGB	derived	/Annotated ImagesBMB-WP6Del/Tiffs-Bazla/	data analysis protocol	idr0018-experimentA-processed.txt
