Image File	Characteristics [Organism Part]	Characteristics [Sex]	Characteristics [Individual]	Characteristics [Genotype]	Has Phenotype	Phenotype Annotation Level	Phenotype Description	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18	Phenotype 19	Phenotype 20	Phenotype 21	Phenotype 22	Phenotype 23	Phenotype 24	Phenotype 25	Phenotype 26	Phenotype 27	Phenotype 28	Phenotype 29	Phenotype 30	Phenotype 31	Phenotype 32	Phenotype 33	Phenotype 34	Phenotype 35	Phenotype 36	Phenotype 37	Phenotype 38	Phenotype 39	Phenotype 40	Phenotype 41	Phenotype 42	Phenotype 43	Phenotype 44	Phenotype 45	Phenotype 46	Phenotype 47	Phenotype 48
Bazla-14_100-reprof-a116.tif	reproductive system	female	Baz1a-14-100	Baz1a knockout	yes	image																																														pyknotic nuclear phenotype			
Bazla-14_100-reprof-a117.tif	reproductive system	female	Baz1a-14-100	Baz1a knockout	yes	image	increased rate of protein secretion																	cell component morphology phenotype																															
Bazla-14_75-eye-a105.tif	eye	male	Baz1a-14-75	Baz1a knockout	yes	image																									cell spreading phenotype																								
Bazla-14_75-gi-a106.tif	gastrointestinal system	male	Baz1a-14-75	Baz1a knockout	yes	image				abnormal chromosome segregation phenotype																																													
Bazla-14_75-heart-a107.tif	heart	male	Baz1a-14-75	Baz1a knockout	yes	image														binuclear cell phenotype																																			
Bazla-14_75-heart-a108.tif	heart	male	Baz1a-14-75	Baz1a knockout	yes	image	cytoplasm vacuoles																																increased cell component number phenotype																
Bazla-14_75-knee-a109.tif	knee	male	Baz1a-14-75	Baz1a knockout	yes	image														binuclear cell phenotype																																			
Bazla-14_75-liver-a110.tif	liver	male	Baz1a-14-75	Baz1a knockout	yes	image														binuclear cell phenotype																																			
Bazla-14_75-liver-a111.tif	liver	male	Baz1a-14-75	Baz1a knockout	yes	image																																														pyknotic nuclear phenotype			
Bazla-14_75-LN-a112.tif	lymph node	male	Baz1a-14-75	Baz1a knockout	yes	image									actin filament phenotype																																								
Bazla-14_75-reprom-a113.tif	reproductive system	male	Baz1a-14-75	Baz1a knockout	yes	image																																fewer cells with projections																	
Bazla-14_75-Sali-a114.tif	salivary gland	male	Baz1a-14-75	Baz1a knockout	yes	image					abnormal nucleus shape phenotype																																												
Bazla-14_75-skin-a115.tif	skin	male	Baz1a-14-75	Baz1a knockout	yes	image										aggregated cells in population																																							
Car4_13-923-3a.tif	heart	male	Car4-13-923	Car4 knockout	yes	image									actin filament phenotype																																								
Car4_13-923-3b.tif	heart	male	Car4-13-923	Car4 knockout	yes	image									actin filament phenotype																																								
Car4_13-923-3c.tif	heart	male	Car4-13-923	Car4 knockout	yes	image									actin filament phenotype																																								
Car4-13_922-a54.tif	brain	male	Car4-13-922	Car4 knockout	yes	image						absence of cell spreading phenotype																																											
Car4-13_922-a55.tif	brain	male	Car4-13-922	Car4 knockout	yes	image					abnormal nucleus shape phenotype																																												
Car4-13_922-a56.tif	brain	male	Car4-13-922	Car4 knockout	yes	image												apoptotic cell shape phenotype																																					
Car4-13_922-a57.tif	brain	male	Car4-13-922	Car4 knockout	yes	image										aggregated cells in population																																							
Car4-13_922-a58.tif	brain	male	Car4-13-922	Car4 knockout	yes	image															bright nuclear body phenotype																																		
Car4-13_922-a59.tif	gastrointestinal system	male	Car4-13-922	Car4 knockout	yes	image					abnormal nucleus shape phenotype																																												
Car4-13_922-a60.tif	gastrointestinal system	male	Car4-13-922	Car4 knockout	yes	image												apoptotic cell shape phenotype																																					
Car4-13_922-a61.tif	gastrointestinal system	male	Car4-13-922	Car4 knockout	yes	image																					cell death phenotype																												
Car4-13_922-a62.tif	liver	male	Car4-13-922	Car4 knockout	yes	image														binuclear cell phenotype																																			
Car4-13_922-a63.tif	liver	male	Car4-13-922	Car4 knockout	yes	image																																													polyploid cell phenotype				
Car4-13_922-a64.tif	liver	male	Car4-13-922	Car4 knockout	yes	image														binuclear cell phenotype																																			
Car4-13_922-a65.tif	liver	male	Car4-13-922	Car4 knockout	yes	image																																				increased cilium length phenotype													
Car4-13_922-a66.tif	liver	male	Car4-13-922	Car4 knockout	yes	image																cell adhesion phenotype																																	
Car4-13_922-a67.tif	liver	male	Car4-13-922	Car4 knockout	yes	image												apoptotic cell shape phenotype																																					
Car4-13_922-a68.tif	liver	male	Car4-13-922	Car4 knockout	yes	image								actin cytoskeleton phenotype																																									
Car4-13_922-a69.tif	liver	male	Car4-13-922	Car4 knockout	yes	image					abnormal nucleus shape phenotype																																												
Car4-13_922-a70.tif	liver	male	Car4-13-922	Car4 knockout	yes	image									actin filament phenotype																																								
Car4-13_922-a71.tif	liver	male	Car4-13-922	Car4 knockout	yes	image					abnormal nucleus shape phenotype																																												
Car4-13_922-a72.tif	liver	male	Car4-13-922	Car4 knockout	yes	image																																			increased cell size phenotype														
Car4-13_922-a73tif.tif	reproductive system	male	Car4-13-922	Car4 knockout	yes	image															bright nuclear body phenotype																																		
Car4-13_922-a74.tif	salivary gland	male	Car4-13-922	Car4 knockout	yes	image					abnormal nucleus shape phenotype																																												
Car4-13_922-a75.tif	throat	male	Car4-13-922	Car4 knockout	yes	image									actin filament phenotype																																								
Car4-13_922-a76.tif	throat	male	Car4-13-922	Car4 knockout	yes	image																																														pyknotic nuclear phenotype			
Car4-13_923-a77.tif	brain	male	Car4-13-923	Car4 knockout	yes	image																													cilium morphology phenotype																				
Car4-13_923-a78.tif	brain	male	Car4-13-923	Car4 knockout	yes	image																								cell projection phenotype																									
Car4-13_923-a79.tif	gastrointestinal system	male	Car4-13-923	Car4 knockout	yes	image																																																	S phase mitotic phenotype
Car4-13_923-a80.tif	gastrointestinal system	male	Car4-13-923	Car4 knockout	yes	image																cell adhesion phenotype																																	
Car4-13_923-a81.tif	reproductive system	male	Car4-13-923	Car4 knockout	yes	image													bilobed nucleus phenotype																																				
Car4-13_923-a82.tif	salivary gland	male	Car4-13-923	Car4 knockout	yes	image	crystalline material in cytoplasm																	cell component morphology phenotype																															
Car4-13_923-a83.tif	salivary gland	male	Car4-13-923	Car4 knockout	yes	image																								cell projection phenotype																									
Car4-13_923-a84&85.tif	throat	male	Car4-13-923	Car4 knockout	yes	image									actin filament phenotype																																								
Car4-13_923-a86.tif	throat	male	Car4-13-923	Car4 knockout	yes	image												apoptotic cell shape phenotype																																					
CPA2-14_22_1bf-a.tif	oviduct	female	Cpa2-14-22	Cpa2 knockout	yes	image																						cell DNA phenotype																											
CPA2-14_22_1bf-b.tif	oviduct	female	Cpa2-14-22	Cpa2 knockout	yes	image												apoptotic cell shape phenotype																																					
CPA2-14_22_1bf-c.tif	oviduct	female	Cpa2-14-22	Cpa2 knockout	yes	image											apoptopic nucleus phenotype																																						
CPA2-14_22_1bf-d.tif	oviduct	female	Cpa2-14-22	Cpa2 knockout	yes	image															bright nuclear body phenotype																																		
