Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Characteristics [Replicate Group],Experimental Condition [Targeted Protein],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Symbol Synonyms],Comment [Gene Annotation Comments],Experimental Condition [Antibody],Channels,Comment [Image File Comments],Comment [Image File Type],NumberOfImages,NumberOfParticles,RadialDistance,SEMerror,Has Phenotype,Phenotype Annotation Level,Phenotype 1,Phenotype 1 Term Name,Phenotype 1 Term Accession
Nup107-aa33-51_antibody_1,all_particles.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,derived,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,nup107_low600_corr1_2.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,nup107_low600_corr1_3.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,nup107_low600_corr1_4.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,nup107_low600_corr1_6.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,nup107_low600_corr1_7.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,nup107_low600_corr1_8.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,nup107_low600_corr2_10.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,nup107_low600_corr2_5.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,nup107_low600_corr2_9.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,SUM_trans_norm.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,derived,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_1,trans_norm.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_1,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,derived,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_2,all_particles.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_2,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,derived,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_2,nup107_low600_corr1_10.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_2,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_2,nup107_low600_corr1_2.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_2,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_2,nup107_low600_corr1_4.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_2,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_2,nup107_low600_corr1_7.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_2,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_2,nup107_low600_corr1_8.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_2,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
Nup107-aa33-51_antibody_2,nup107_low600_corr1_9.tif,Homo sapiens,NCBITaxon,NCBITaxon_9606,U2OS,EFO,EFO_0002869,Nup107-aa33-51_antibody_2,Nup107,ENSG00000111581,NUP107,NUP84,"Gene identifiers and symbols from GRCh38.p5, Ensembl release 84, Mar 2016. Added by IDR curators.",Nup107-aa33-51 antibody,greyscale,,raw,3,1665,55.7 nanometers,0.3 nanometers,yes,experimental condition and protein,protein localized in nuclear pore,protein localized in nuclear pore phenotype,CMPO_0000426
