Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Term Source 2 REF,Term Source 2 Accession,Characteristics [Sex],Term Source 3 REF,Term Source 3 Accession,Characteristics [Age],Characteristics [Individual],Characteristics [Organism Part],Characteristics [Clinical Information],Experimental Condition [Individual],Experimental Condition [Treatment Timepoint],Experimental Condition [Treatment],Experimental Condition [Sampling Timepoint],Comment [Raw Data Capture],Comment [Field],Channels,Comment [Image File Type],Has Phenotype,Phenotype Annotation Level,Phenotype 1,Phenotype 1 Term Name,Phenotype 1 Term Accession,Phenotype 2,Phenotype 2 Term Name,Phenotype 2 Term Accession,Phenotype 3,Phenotype 4,Phenotype 4 Term Name,Phenotype 4 Term Accession,Phenotype 5,Phenotype 5 Term Name,Phenotype 5 Term Accession,Phenotype 6,Phenotype 7,Phenotype 8
TreatStartDay3_Control_Day3PostTreat_mouse50,3.50.6-3.140922_11-36-07.00.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,1,"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day3PostTreat_mouse50,3.50.6-3.140922_11-36-07.01.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,2,"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day3PostTreat_mouse50,3.50.6-3.140922_11-36-07.02.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,3,"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day3PostTreat_mouse50,3.50.6-3.140922_11-36-07.03.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,4,"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day3PostTreat_mouse50,3.50.6-3.140922_11-36-07.04.pattern,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,5,"FD5_BLUE:SHG (collagen);FD6_GREEN:dsRed2 (CTL);BD7_RED:Alexa750 (vessels, 70kDa-dextran);BD8_RED:mCherry(Histone-2B-mCherry, B16F10/OVA nuclei)",raw,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day3PostTreat_mouse50,Pos 00_all Ch_all TP_3D registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,1,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day3PostTreat_mouse50,Pos 01_all Ch_all TP_3D registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,2,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day3PostTreat_mouse50,Pos 02_all Ch_all TP_3D registered_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,3,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day3PostTreat_mouse50,Pos 03_all Ch_all TP_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,4,RGB,processed,,,,,,,,,,,,,,,,,,
TreatStartDay3_Control_Day3PostTreat_mouse50,Pos 04_all Ch_all TP_crop.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,male,PATO,PATO_0000384,8 to 14 week old,mouse 50,tumor,OVA expressing tumor,mouse 50,3 days after tumor inoculation,control - cytotoxic T lymphocytes only,3 days after treatment start,part 1 of 1,5,RGB,processed,,,,,,,,,,,,,,,,,,
