Time (s),,Green x,Green y,Green z,,Red x,Red y,Red z,,interspot distance (nm),,x offset,y offset,z offset,,Green Max I,Green Backgrnd,Green STD,,Red Max I,Red Backgrnd,Red STD,,Green contrast,,Red constrast,,OriginalvideoID,Strain,ManuscriptvideoID,Mother/Daughter Cell,DD strain names
9.476,,3.498,6.042,1.035,,3.5892,5.7777,1.5488,,584.9464676,,0.0912,-0.2643,0.5138,,120.97,45.07,6.26,,29.23,7.17,2.27,,75.9,,22.06,,63_24a,100.8kb,u_upper,m,DD1475
10.529,,3.518,5.96,1.058,,3.5902,5.6567,1.5028,,543.1857601,,0.0722,-0.3033,0.4448,,127.28,45.11,6.45,,32.35,8.14,2.39,,82.17,,24.21,,63_24a,100.8kb,u_upper,m,DD1475
11.582,,3.573,6.05,1.235,,3.5772,5.7087,1.6658,,549.6289385,,0.0042,-0.3413,0.4308,,117.29,44.21,6.14,,33.45,7.01,2.34,,73.08,,26.44,,63_24a,100.8kb,u_upper,m,DD1475
12.635,,3.498,5.769,1.196,,3.6482,5.7417,1.4638,,308.2566625,,0.1502,-0.0273,0.2678,,116.33,44.62,6.5,,29.47,6.48,2.1,,71.71,,22.99,,63_24a,100.8kb,u_upper,m,DD1475
13.687,,3.544,5.77,1.302,,3.5862,5.7157,1.4428,,156.6970644,,0.0422,-0.0543,0.1408,,102.81,43.84,6.33,,27.75,5.17,2.01,,58.97,,22.58,,63_24a,100.8kb,u_upper,m,DD1475
14.74,,3.509,5.891,1.388,,3.6782,5.6847,1.5398,,306.9716111,,0.1692,-0.2063,0.1518,,111.85,44.15,6.84,,24.98,5.59,1.96,,67.7,,19.39,,63_24a,100.8kb,u_upper,m,DD1475
15.793,,3.574,5.913,1.301,,3.6032,5.8067,1.5578,,279.4612138,,0.0292,-0.1063,0.2568,,94.3,43.18,6.14,,26.03,6.48,1.96,,51.12,,19.55,,63_24a,100.8kb,u_upper,m,DD1475
16.846,,3.559,5.976,1.054,,3.6342,5.7797,1.4648,,461.4600416,,0.0752,-0.1963,0.4108,,107,43.12,6.07,,23.97,5.98,1.99,,63.88,,17.99,,63_24a,100.8kb,u_upper,m,DD1475
17.899,,3.662,6.015,1.263,,3.6862,5.7027,1.5178,,403.7820823,,0.0242,-0.3123,0.2548,,115.78,42.77,6.08,,27.87,6.32,2.19,,73.01,,21.55,,63_24a,100.8kb,u_upper,m,DD1475
18.952,,3.63,5.932,1.367,,3.6102,5.6717,1.4468,,272.9765008,,-0.0198,-0.2603,0.0798,,112.32,43,6.57,,28.27,6.26,2.12,,69.32,,22.01,,63_24a,100.8kb,u_upper,m,DD1475
20.005,,3.709,5.903,1.287,,3.5722,5.7197,1.4658,,290.3146052,,-0.1368,-0.1833,0.1788,,105.3,41.67,5.88,,23.77,6.19,1.86,,63.63,,17.58,,63_24a,100.8kb,u_upper,m,DD1475
21.058,,3.654,5.948,1.264,,3.5722,5.7027,1.6808,,490.4952293,,-0.0818,-0.2453,0.4168,,121.51,41.78,6.19,,30.85,7.26,2.22,,79.73,,23.59,,63_24a,100.8kb,u_upper,m,DD1475
22.11,,3.68,6.092,1.264,,3.5482,5.7607,1.6788,,546.9826048,,-0.1318,-0.3313,0.4148,,107.82,41.08,5.56,,25.19,6.28,1.98,,66.74,,18.91,,63_24a,100.8kb,u_upper,m,DD1475
23.163,,3.718,6.11,1.438,,3.5932,5.7237,1.7088,,487.9911577,,-0.1248,-0.3863,0.2708,,101.32,40.78,5.37,,30.75,6.04,2,,60.54,,24.71,,63_24a,100.8kb,u_upper,m,DD1475
24.216,,3.689,6.2,1.409,,3.5962,5.6717,1.7268,,623.4657729,,-0.0928,-0.5283,0.3178,,105.11,40.85,5.34,,30.85,6.59,2.16,,64.26,,24.26,,63_24a,100.8kb,u_upper,m,DD1475
25.269,,3.512,6.116,1.345,,3.6082,5.6617,1.5928,,526.3532749,,0.0962,-0.4543,0.2478,,118,41.6,6.15,,27.84,6.24,1.95,,76.4,,21.6,,63_24a,100.8kb,u_upper,m,DD1475
26.322,,3.608,6.024,1.31,,3.6702,5.7547,1.6568,,443.4654102,,0.0622,-0.2693,0.3468,,106.95,41.21,6,,31.1,7.76,2.35,,65.74,,23.34,,63_24a,100.8kb,u_upper,m,DD1475
27.375,,3.618,5.957,1.272,,3.5462,5.7107,1.5338,,366.5490008,,-0.0718,-0.2463,0.2618,,105.93,41.4,6.01,,27.14,6.69,1.99,,64.53,,20.45,,63_24a,100.8kb,u_upper,m,DD1475
28.428,,3.657,5.911,1.405,,3.6022,5.7167,1.6858,,345.8383582,,-0.0548,-0.1943,0.2808,,108.54,41.34,6.08,,34.57,7.38,2.45,,67.2,,27.19,,63_24a,100.8kb,u_upper,m,DD1475
