Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Characteristics [Genotype]	Characteristics [Genomic Separation Of Operators]	Characteristics [Cell Identifier]	Protocol REF	Protocol REF	Assay Name	Experimental Condition [Genomic Separation Of Operators]	Experimental Condition [Cell Identifier]	Channels	Dataset Name	Image File Path	Image Name	Comment [Associated File]	Comment [Image File Type]
DD1475_aa_upper_x_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_aa_upper_x_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_aa_upper_x_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/aa_upper_x_lower.dv	aa_upper_x_lower.dv	aa_upper_x_lower.log	raw
DD1475_aa_upper_x_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_aa_upper_x_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_aa_upper_x_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/aa_upper_x_lower_ALX.dv	aa_upper_x_lower_ALX.dv		derived
DD1475_ee_upper_cc_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_ee_upper_cc_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_ee_upper_cc_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/ee_upper_cc_lower.dv	ee_upper_cc_lower.dv	ee_upper_cc_lower.log	raw
DD1475_ee_upper_cc_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_ee_upper_cc_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_ee_upper_cc_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/ee_upper_cc_lower_ALX.dv	ee_upper_cc_lower_ALX.dv		derived
DD1475_gg_upper_ff_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_gg_upper_ff_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_gg_upper_ff_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/gg_upper_ff_lower.dv	gg_upper_ff_lower.dv	gg_upper_ff_lower.log	raw
DD1475_gg_upper_ff_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_gg_upper_ff_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_gg_upper_ff_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/gg_upper_ff_lower_ALX.dv	gg_upper_ff_lower_ALX.dv		derived
DD1475_hh_upper_dd_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_hh_upper_dd_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_hh_upper_dd_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/hh_upper_dd_lower.dv	hh_upper_dd_lower.dv	hh_upper_dd_lower.log	raw
DD1475_hh_upper_dd_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_hh_upper_dd_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_hh_upper_dd_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/hh_upper_dd_lower_ALX.dv	hh_upper_dd_lower_ALX.dv		derived
DD1475_i_upper_n_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_i_upper_n_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_i_upper_n_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/i_upper_n_lower.dv	i_upper_n_lower.dv	i_upper_n_lower.log	raw
DD1475_i_upper_n_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_i_upper_n_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_i_upper_n_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./ProcessedVideos/100kb/i_upper_n_lower_ALX.dv	i_upper_n_lower_ALX.dv		derived
DD1475_j_upper_k_lower	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	DD1475	"TetO between INN1 and RPC31, LacO between MIC27 and OCA1"	100kb	DD1475_j_upper_k_lower	growth protocol	image aquistion and feature extraction protocol	Genomic separation 100kb	100kb	DD1475_j_upper_k_lower	mCherry: operator 1; GFP: operator 2	Genomic separation 100kb	./RawVideos/100kb/j_upper_k_lower.dv	j_upper_k_lower.dv	j_upper_k_lower.log	raw
