Plate	Well	Plate_Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Z-score (Spindly)	"Z-score (Large, spread)"	Z-score (Triangular)	Z-score (Fan)	"Z-score (Round, small)"	Z-score (High nuclear YAP/TAZ)	Z-score (Low nuclear YAP/TAZ)	Z-score (High total YAP/TAZ)	Z-score (Low total YAP/TAZ)	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
LM2_siGENOME_1A	C10	LM2_siGENOME_1A_C10	M-010063-01	57580	PREX1								2.287208722		yes	well								High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
LM2_siGENOME_1A	C11	LM2_siGENOME_1A_C11	M-013460-01	9639	ARHGEF10							-1.569725098			yes	well							Low nuclear YAP/TAZ		
LM2_siGENOME_1A	C13	LM2_siGENOME_1A_C13	M-017096-01	55160	ARHGEF10L				3.79902076	1.766112809		-3.475280495			yes	well				Fan	"Round, small"		Low nuclear YAP/TAZ		
LM2_siGENOME_1A	C14	LM2_siGENOME_1A_C14	M-010063-01	57580	PREX1					2.537940698			2.157189811		yes	well					"Round, small"			High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
LM2_siGENOME_1A	C15	LM2_siGENOME_1A_C15	M-008370-02	128272	ARHGEF19							-3.267775879	2.418498277		yes	well							Low nuclear YAP/TAZ	High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
LM2_siGENOME_1A	C17	LM2_siGENOME_1A_C17	M-024506-02	64283	ARHGEF28				2.097764107		2.33490807				yes	well				Fan		High nuclear YAP/TAZ			
LM2_siGENOME_1A	C18	LM2_siGENOME_1A_C18	M-009616-00	8874	ARHGEF7				3.161049515		2.852394575				yes	well				Fan		High nuclear YAP/TAZ			
LM2_siGENOME_1A	C20	LM2_siGENOME_1A_C20	M-014602-01	80243	PREX2				5.712934495		8.02767476			-2.097729752	yes	well				Fan		High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	C21	LM2_siGENOME_1A_C21	M-008519-02	10160	FARP1	2.032544715				2.868724079		-1.796384899	4.910463172		yes	well	Spindly				"Round, small"		Low nuclear YAP/TAZ	High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
LM2_siGENOME_1A	C22	LM2_siGENOME_1A_C22	M-023690-01	64857	PLEKHG2						2.211377885			-3.219100731	yes	well						High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	C3	LM2_siGENOME_1A_C3	M-008868-01	11214	AKAP13		1.505215877							-1.975540864	yes	well		"Large, spread"							Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	C4	LM2_siGENOME_1A_C4	M-015006-01	84904	ARHGEF39		4.670579963				6.787213467			-2.672865976	yes	well		"Large, spread"				High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	C6	LM2_siGENOME_1A_C6	M-008434-02	26230	TIAM2		2.560337239							-2.653912686	yes	well		"Large, spread"							Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	C7	LM2_siGENOME_1A_C7	M-008365-01	6453	ITSN1						2.052028098				yes	well						High nuclear YAP/TAZ			
LM2_siGENOME_1A	C8	LM2_siGENOME_1A_C8	M-003904-03	4168	MCF2					1.683416963	2.499713823				yes	well					"Round, small"	High nuclear YAP/TAZ			
LM2_siGENOME_1A	C9	LM2_siGENOME_1A_C9	M-003875-05	613	BCR					1.931504499					yes	well					"Round, small"				
LM2_siGENOME_1A	D10	LM2_siGENOME_1A_D10	M-026304-01	23268	DNMBP									-1.67357912	yes	well									Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	D11	LM2_siGENOME_1A_D11	M-023079-01	55619	DOCK10			1.932118916						-2.846865388	yes	well			Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	D12	LM2_siGENOME_1A_D12	M-026514-01	57569	ARHGAP20				1.885107025			-2.139695623			yes	well				Fan			Low nuclear YAP/TAZ		
LM2_siGENOME_1A	D13	LM2_siGENOME_1A_D13	M-032389-00	440107	PLEKHG7	1.527725833						-2.607663308		-2.531829319	yes	well	Spindly						Low nuclear YAP/TAZ		Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	D16	LM2_siGENOME_1A_D16	M-008426-01	23092	ARHGAP26				2.52307827			-1.607857555			yes	well				Fan			Low nuclear YAP/TAZ		
LM2_siGENOME_1A	D17	LM2_siGENOME_1A_D17	M-014168-01	57679	ALS2				5.287620332		2.535236905		4.778535152		yes	well				Fan		High nuclear YAP/TAZ		High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
LM2_siGENOME_1A	D18	LM2_siGENOME_1A_D18	M-009266-00	10928	RALBP1		1.505215877				3.013404874			-2.802421683	yes	well		"Large, spread"				High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	D20	LM2_siGENOME_1A_D20	M-009266-00	10928	RALBP1		1.505215877		3.267378056		3.765913041			-2.926053045	yes	well		"Large, spread"		Fan		High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	D22	LM2_siGENOME_1A_D22	M-009382-01	79658	ARHGAP10	2.537363598									yes	well	Spindly								
LM2_siGENOME_1A	D3	LM2_siGENOME_1A_D3	M-020314-01	23229	ARHGEF9						2.1400352			-2.078884816	yes	well						High nuclear YAP/TAZ			Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	D4	LM2_siGENOME_1A_D4	M-004775-01	57584	ARHGAP21		1.505215877		1.566121403	2.344983725	3.501535911				yes	well		"Large, spread"		Fan	"Round, small"	High nuclear YAP/TAZ			
LM2_siGENOME_1A	D5	LM2_siGENOME_1A_D5	M-014170-00	57722	IGDCC4					4.77072852			3.809684648		yes	well					"Round, small"			High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
LM2_siGENOME_1A	D6	LM2_siGENOME_1A_D6	M-009535-00	4650	MYO9B					4.219422885		-3.519165439		-1.912541159	yes	well					"Round, small"		Low nuclear YAP/TAZ		Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
LM2_siGENOME_1A	D7	LM2_siGENOME_1A_D7	M-017968-01	9732	DOCK4								2.007534392		yes	well								High total YAP/TAZ in nuclear and ring regions normalised to nuclear area	
