Plate	Well	Plate_Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Z-score (Spindly)	"Z-score (Large, spread)"	Z-score (Triangular)	Z-score (Fan)	"Z-score (Round, small)"	Z-score (High nuclear YAP/TAZ)	Z-score (Low nuclear YAP/TAZ)	Z-score (High total YAP/TAZ)	Z-score (Low total YAP/TAZ)	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
MDA-MB-231_siGENOME_2B	I5	MDA-MB-231_siGENOME_2B_I5	M-015856-00	85360	7H3							-1.81163734			yes	well							Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_2B	G15	MDA-MB-231_siGENOME_2B_G15	M-015856-00	85360	7H3							-1.791123929			yes	well							Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_2A	I5	MDA-MB-231_siGENOME_2A_I5	M-015856-00	85360	7H3							-1.581991142			yes	well							Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1A	J4	MDA-MB-231_siGENOME_1A_J4	M-008611-00	29	ABR	3.622134558						-1.712190769			yes	well	Spindly						Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1A	J22	MDA-MB-231_siGENOME_1A_J22	M-008611-00	29	ABR	4.721041752		1.582168972							yes	well	Spindly		Triangular						
MDA-MB-231_siGENOME_1B	J22	MDA-MB-231_siGENOME_1B_J22	M-008611-00	29	ABR	3.412231037		4.386564418							yes	well	Spindly		Triangular						
MDA-MB-231_siGENOME_1A	E17	MDA-MB-231_siGENOME_1A_E17	M-008611-00	29	ABR	3.475613599									yes	well	Spindly								
MDA-MB-231_siGENOME_1A	G7	MDA-MB-231_siGENOME_1A_G7	M-008611-00	29	ABR	3.548874079									yes	well	Spindly								
MDA-MB-231_siGENOME_1B	E17	MDA-MB-231_siGENOME_1B_E17	M-008611-00	29	ABR	4.02139448									yes	well	Spindly								
MDA-MB-231_siGENOME_1B	J4	MDA-MB-231_siGENOME_1B_J4	M-008611-00	29	ABR	4.402121632									yes	well	Spindly								
MDA-MB-231_siGENOME_1B	C3	MDA-MB-231_siGENOME_1B_C3	M-008868-01	11214	AKAP13		5.99502378	4.293977027						-4.393699169	yes	well		"Large, spread"	Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	C3	MDA-MB-231_siGENOME_1A_C3	M-008868-01	11214	AKAP13			2.010853102	2.64214206					-2.498071625	yes	well			Triangular	Fan					Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	K9	MDA-MB-231_siGENOME_1B_K9	M-008868-01	11214	AKAP13	3.031503885			4.043528271						yes	well	Spindly			Fan					
MDA-MB-231_siGENOME_1A	J15	MDA-MB-231_siGENOME_1A_J15	M-014168-01	57679	ALS2				6.831031627		2.776575641				yes	well				Fan		High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1B	J15	MDA-MB-231_siGENOME_1B_J15	M-014168-01	57679	ALS2				7.704047885		3.593650968				yes	well				Fan		High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1A	D17	MDA-MB-231_siGENOME_1A_D17	M-014168-01	57679	ALS2		1.727174571	2.734257571	7.20063953		3.868789707				yes	well		"Large, spread"	Triangular	Fan		High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1B	D17	MDA-MB-231_siGENOME_1B_D17	M-014168-01	57679	ALS2			3.244653259	2.945372386		4.000795298				yes	well			Triangular	Fan		High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1B	N12	MDA-MB-231_siGENOME_1B_N12	M-008966-00	392	ARHGAP1		1.902469198	5.528475577						-4.802427383	yes	well		"Large, spread"	Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1A	N12	MDA-MB-231_siGENOME_1A_N12	M-008966-00	392	ARHGAP1		1.727174571	5.279569591						-4.060443164	yes	well		"Large, spread"	Triangular						Low total YAP/TAZ in nuclear and ring regions normalised to nuclear area
MDA-MB-231_siGENOME_1B	F14	MDA-MB-231_siGENOME_1B_F14	M-008966-00	392	ARHGAP1							-1.814648488			yes	well							Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1A	F14	MDA-MB-231_siGENOME_1A_F14	M-008966-00	392	ARHGAP1	2.596487844		2.573501022							yes	well	Spindly		Triangular						
MDA-MB-231_siGENOME_1B	D22	MDA-MB-231_siGENOME_1B_D22	M-009382-01	79658	ARHGAP10						3.007256286				yes	well						High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1A	N20	MDA-MB-231_siGENOME_1A_N20	M-009382-01	79658	ARHGAP10					1.733466684	3.146183246				yes	well					"Round, small"	High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1B	N20	MDA-MB-231_siGENOME_1B_N20	M-009382-01	79658	ARHGAP10						3.451937748				yes	well						High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1A	D22	MDA-MB-231_siGENOME_1A_D22	M-009382-01	79658	ARHGAP10						3.776434989				yes	well						High nuclear YAP/TAZ			
MDA-MB-231_siGENOME_1A	J14	MDA-MB-231_siGENOME_1A_J14	M-021122-00	9824	ARHGAP11A	1.57084113		1.957267585				-3.467307871			yes	well	Spindly		Triangular				Low nuclear YAP/TAZ		
MDA-MB-231_siGENOME_1B	J14	MDA-MB-231_siGENOME_1B_J14	M-021122-00	9824	ARHGAP11A							-2.943293059			yes	well							Low nuclear YAP/TAZ		
