Plate	Well	Plate_Well	Experimental Condition [Compound]	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Control Type	Control Comments	Gene Hit for YAP Localization Inconsistent With Cell Shape	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18
200972726[5176]_kinome_YAP_TAZ	B10	200972726[5176]_kinome_YAP_TAZ_B10		M-007669-00	5256	PHKA2				yes	well		small cells												low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	B11	200972726[5176]_kinome_YAP_TAZ_B11		M-005376-00	6725	SRMS				yes	well							high Neighbor Fraction					doughnut nuclei		low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	B12	200972726[5176]_kinome_YAP_TAZ_B12		M-006769-01	55300	PI4K2B			"yes, Low YAP Ratio"	yes	well		small cells														low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	B13	200972726[5176]_kinome_YAP_TAZ_B13			10006	ABI1			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction									low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	B15	200972726[5176]_kinome_YAP_TAZ_B15		M-004054-01	8576	STK16				yes	well											low nuclear roundness				high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	B16	200972726[5176]_kinome_YAP_TAZ_B16		M-006771-01	5286	PIK3C2A				yes	well					high nucleus/cell area							doughnut nuclei		low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	B17	200972726[5176]_kinome_YAP_TAZ_B17		M-005036-02	10733	PLK4				yes	well							high Neighbor Fraction		high local density					low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	B18	200972726[5176]_kinome_YAP_TAZ_B18		M-006772-01	5287	PIK3C2B				yes	well	large cells						high Neighbor Fraction		high local density									
200972726[5176]_kinome_YAP_TAZ	B19	200972726[5176]_kinome_YAP_TAZ_B19		M-005378-02	8859	STK19				yes	well	large cells		large nuclei				high Neighbor Fraction					doughnut nuclei		low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	B2	200972726[5176]_kinome_YAP_TAZ_B2		M-010253-01	5214	PFKP				yes	well			large nuclei		high nucleus/cell area		high Neighbor Fraction		high local density				high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	B20	200972726[5176]_kinome_YAP_TAZ_B20		M-006773-01	5288	PIK3C2G				yes	well							high Neighbor Fraction							low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	B21	200972726[5176]_kinome_YAP_TAZ_B21		M-005382-01	56164	STK31			"yes, Low YAP Ratio"	yes	well		small cells			high nucleus/cell area		high Neighbor Fraction		high local density			doughnut nuclei	high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	B22	200972726[5176]_kinome_YAP_TAZ_B22		M-003290-01	5347	PLK1	positive control	"checks for transfection, gives cell death phenotype"		yes	well								low Neighbor Fraction		low local density	low nuclear roundness			low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	B3	200972726[5176]_kinome_YAP_TAZ_B3		M-004172-03	8877	SPHK1				yes	well					high nucleus/cell area		high Neighbor Fraction							low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)			
200972726[5176]_kinome_YAP_TAZ	B5	200972726[5176]_kinome_YAP_TAZ_B5		M-004831-00	56848	SPHK2			"yes, Low YAP Ratio"	yes	well												doughnut nuclei				low YAP/TAZ ratio (mouse Santa Cruz)		low YAP/TAZ ratio (rabbit Novus)
200972726[5176]_kinome_YAP_TAZ	B6	200972726[5176]_kinome_YAP_TAZ_B6		M-006768-02	5232	PGK2				yes	well							high Neighbor Fraction				low nuclear roundness							
200972726[5176]_kinome_YAP_TAZ	B7	200972726[5176]_kinome_YAP_TAZ_B7			22928	SEPHS2				yes	well														low total YAP/TAZ	high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	B9	200972726[5176]_kinome_YAP_TAZ_B9			8878	SQSTM1				yes	well	large cells		large nuclei				high Neighbor Fraction											
200972726[5176]_kinome_YAP_TAZ	C11	200972726[5176]_kinome_YAP_TAZ_C11		M-004805-01	1859	DYRK1A				yes	well												doughnut nuclei		low total YAP/TAZ			high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	C12	200972726[5176]_kinome_YAP_TAZ_C12		M-003475-03	1457	CSNK2A1				yes	well												doughnut nuclei	high total YAP/TAZ			low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	C13	200972726[5176]_kinome_YAP_TAZ_C13		M-004806-01	9149	DYRK1B				yes	well	large cells						high Neighbor Fraction					doughnut nuclei		low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	C14	200972726[5176]_kinome_YAP_TAZ_C14		M-004752-00	1459	CSNK2A2				yes	well		small cells			high nucleus/cell area			low Neighbor Fraction								low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	C15	200972726[5176]_kinome_YAP_TAZ_C15		M-004730-03	8445	DYRK2				yes	well					high nucleus/cell area		high Neighbor Fraction		high local density		low nuclear roundness	doughnut nuclei		low total YAP/TAZ				
200972726[5176]_kinome_YAP_TAZ	C16	200972726[5176]_kinome_YAP_TAZ_C16		M-004417-03	1612	DAPK1				yes	well							high Neighbor Fraction		high local density					low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)		
200972726[5176]_kinome_YAP_TAZ	C17	200972726[5176]_kinome_YAP_TAZ_C17		M-004731-01	8444	DYRK3				yes	well	large cells		large nuclei							low local density	low nuclear roundness	doughnut nuclei						
200972726[5176]_kinome_YAP_TAZ	C18	200972726[5176]_kinome_YAP_TAZ_C18		M-004418-03	23604	DAPK2			"yes, Low YAP Ratio"	yes	well			large nuclei				high Neighbor Fraction				low nuclear roundness	doughnut nuclei						
200972726[5176]_kinome_YAP_TAZ	C19	200972726[5176]_kinome_YAP_TAZ_C19		M-004732-01	8798	DYRK4			"yes, Low YAP Ratio"	yes	well							high Neighbor Fraction		high local density					low total YAP/TAZ		low YAP/TAZ ratio (mouse Santa Cruz)	high YAP/TAZ ratio (rabbit Novus)	
200972726[5176]_kinome_YAP_TAZ	C2	200972726[5176]_kinome_YAP_TAZ_C2		M-004536-01	818	CAMK2G				yes	well			large nuclei				high Neighbor Fraction				low nuclear roundness							
200972726[5176]_kinome_YAP_TAZ	C20	200972726[5176]_kinome_YAP_TAZ_C20		M-004947-00	1613	DAPK3			"yes, High YAP Ratio"	yes	well	large cells		large nuclei				high Neighbor Fraction					doughnut nuclei			high YAP/TAZ ratio (mouse Santa Cruz)		high YAP/TAZ ratio (rabbit Novus)	
