ORF Identifier	Gene Allele Name	Gene Identifier	Gene Symbol	Median Replicate Correlation	Morphological Cluster ID	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18	Phenotype 19	Phenotype 20	Phenotype 21	Phenotype 22
BRDN0000464846	CEBPA_WT.1	1050	CEBPA	0.877515333	18	yes	multiple reagents		enriched for slightly elongated						enriched for telophase/late telophase		enriched for apoptotic		de-enriched for extremely elongated			de-enriched for slightly large		de-enriched for multi-nucleate		de-enriched for disjoint bright mitochondria	slightly low cell density		
BRDN0000464847	CEBPA_WT.2	1050	CEBPA	0.890052353	18	yes	multiple reagents		enriched for slightly elongated						enriched for telophase/late telophase		enriched for apoptotic		de-enriched for extremely elongated			de-enriched for slightly large		de-enriched for multi-nucleate		de-enriched for disjoint bright mitochondria	slightly low cell density		
BRDN0000464848	CREBBP_WT	1387	CREBBP	0.017335299																									
BRDN0000464849	ERBB2_WT.2	2064	ERBB2	0.101808901																									
BRDN0000464850	KRAS_WT.1	3845	KRAS	0.42511341	19	yes	multiple reagents				enriched for huge		enriched for small asymmetric cells					de-enriched for slightly elongated	de-enriched for extremely elongated			de-enriched for slightly large							normal cell density
BRDN0000464851	KRAS_WT.2	3845	KRAS	0.219735108																									
BRDN0000464852	YAP1_WT.2	10413	YAP1	0.516797385	20	yes	multiple reagents		enriched for slightly elongated			enriched for slightly large				enriched for disjoint bright mitochondria							de-enriched for small asymmetric cells		de-enriched for telophase/late telophase				normal cell density
BRDN0000464853	APC_WT	324	APC	NA																									
BRDN0000464854	CTNNB1_WT	1499	CTNNB1	0.25961886																									
BRDN0000464855	CSNK1A1_WT.3	1452	CSNK1A1	0.295687645																									
BRDN0000464856	YAP1_WT.3	10413	YAP1	0.43010846	20	yes	multiple reagents		enriched for slightly elongated			enriched for slightly large				enriched for disjoint bright mitochondria							de-enriched for small asymmetric cells		de-enriched for telophase/late telophase				normal cell density
BRDN0000464857	YAP1_WT.4	10413	YAP1	0.570262801	20	yes	multiple reagents		enriched for slightly elongated			enriched for slightly large				enriched for disjoint bright mitochondria							de-enriched for small asymmetric cells		de-enriched for telophase/late telophase				normal cell density
BRDN0000464858	PKIA_WT	5569	PKIA	0.38248876																									
