Plate	Plate Column	Plate Row	Well	Well Number	Comments
experiment_10	1	1	A1	1	annotation coming soon
experiment_10	2	1	A2	2	annotation coming soon
experiment_10	3	1	A3	3	annotation coming soon
experiment_10	4	1	A4	4	annotation coming soon
experiment_10	5	1	A5	5	annotation coming soon
experiment_10	6	1	A6	6	annotation coming soon
experiment_10	7	1	A7	7	annotation coming soon
experiment_10	8	1	A8	8	annotation coming soon
experiment_10	9	1	A9	9	annotation coming soon
experiment_10	1	2	B1	13	annotation coming soon
experiment_10	2	2	B2	14	annotation coming soon
experiment_10	3	2	B3	15	annotation coming soon
experiment_10	4	2	B4	16	annotation coming soon
experiment_10	5	2	B5	17	annotation coming soon
experiment_10	6	2	B6	18	annotation coming soon
experiment_10	7	2	B7	19	annotation coming soon
experiment_10	8	2	B8	20	annotation coming soon
experiment_10	9	2	B9	21	annotation coming soon
experiment_10	1	3	C1	25	annotation coming soon
experiment_10	2	3	C2	26	annotation coming soon
experiment_10	3	3	C3	27	annotation coming soon
experiment_10	4	3	C4	28	annotation coming soon
experiment_10	5	3	C5	29	annotation coming soon
experiment_10	6	3	C6	30	annotation coming soon
experiment_10	7	3	C7	31	annotation coming soon
experiment_10	8	3	C8	32	annotation coming soon
experiment_10	9	3	C9	33	annotation coming soon
experiment_10	1	4	D1	37	annotation coming soon
experiment_10	2	4	D2	38	annotation coming soon
experiment_10	3	4	D3	39	annotation coming soon
experiment_10	4	4	D4	40	annotation coming soon
experiment_10	5	4	D5	41	annotation coming soon
experiment_10	6	4	D6	42	annotation coming soon
experiment_10	7	4	D7	43	annotation coming soon
experiment_10	8	4	D8	44	annotation coming soon
experiment_10	9	4	D9	45	annotation coming soon
experiment_10	1	5	E1	49	annotation coming soon
experiment_10	2	5	E2	50	annotation coming soon
experiment_10	3	5	E3	51	annotation coming soon
experiment_10	4	5	E4	52	annotation coming soon
experiment_10	5	5	E5	53	annotation coming soon
experiment_10	6	5	E6	54	annotation coming soon
experiment_10	7	5	E7	55	annotation coming soon
experiment_10	8	5	E8	56	annotation coming soon
experiment_10	9	5	E9	57	annotation coming soon
experiment_10	1	6	F1	61	annotation coming soon
experiment_10	2	6	F2	62	annotation coming soon
experiment_10	3	6	F3	63	annotation coming soon
experiment_10	4	6	F4	64	annotation coming soon
experiment_10	5	6	F5	65	annotation coming soon
experiment_10	6	6	F6	66	annotation coming soon
experiment_10	7	6	F7	67	annotation coming soon
experiment_10	8	6	F8	68	annotation coming soon
experiment_10	9	6	F9	69	annotation coming soon
experiment_10	1	7	G1	73	annotation coming soon
