Plate,Comment [Operetta Plate Name],Comment [Operetta Measurement],Plate Column,Plate Row,Well,Well Number,Comment [BioSamples Identifier],Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Characteristics [Cell Type],Term Source 2 REF,Term Source 2 Accession,Characteristics [Progenitor Cell Type],Term Source 3 REF,Term Source 3 Accession,Characteristics [Donor Identifier],Characteristics [Sex],Term Source 4 REF,Term Source 4 Accession,Characteristics [Age],Characteristics [Disease State],Term Source 5 REF,Term Source 5 Accession,Characteristics [Ethnicity],Experimental Condition [Cell Line],Experimental Condition [Compound],Term Source 6 REF,Term Source 6 Accession,Comment[ChEMBL Identifier],Experimental Condition [Dose],Control Type,Control Comments,Channels,Comments,Results Measurements,Results Summary
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,1,1,A1,1,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,fibronectin,CHEBI,CHEBI_5058,CHEMBL3810,1 microgram per milliliter,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,2,1,A2,2,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,fibronectin,CHEBI,CHEBI_5058,CHEMBL3810,1 microgram per milliliter,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,3,1,A3,3,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,fibronectin,CHEBI,CHEBI_5058,CHEMBL3810,1 microgram per milliliter,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,4,1,A4,4,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,fibronectin,CHEBI,CHEBI_5058,CHEMBL3810,5 microgram per milliliter,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,5,1,A5,5,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,fibronectin,CHEBI,CHEBI_5058,CHEMBL3810,5 microgram per milliliter,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,6,1,A6,6,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,fibronectin,CHEBI,CHEBI_5058,CHEMBL3810,5 microgram per milliliter,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,7,1,A7,7,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,fibronectin,CHEBI,CHEBI_5058,CHEMBL3810,25 microgram per milliliter,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,8,1,A8,8,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,fibronectin,CHEBI,CHEBI_5058,CHEMBL3810,25 microgram per milliliter,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,9,1,A9,9,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,fibronectin,CHEBI,CHEBI_5058,CHEMBL3810,25 microgram per milliliter,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
experiment_1,20140424_HipSci + BJ 3000c/well_OC,Measurement1,10,1,A10,10,SAMEA4341975,Homo sapiens,NCBITaxon,NCBITaxon_9606,CTRL0214pf-iely,induced pluripotent stem cell,EFO,EFO_0004905,,,,,male,PATO,PATO_0000384,65 year,Unaffected by Alpha-1-antitrypsin deficiency due to genetic modification of affected line,,,,CTRL0214pf-iely,,,,,,,control cell line,"DAPI:nuclei;Alexa 488:EdU, proliferation;CellMask:plasma membrane;Brightfield:cell outline",,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/release/20170809/control_cell_lines/CTRL0214pf-iely/,ftp://ftp.hipsci.ebi.ac.uk/vol1/ftp/data/cellbiol-fn/pdf/control_cell_lines/CTRL0214pf-iely/
